Time_Interval,Country_Area,Production_Type,Generation_Value
02/01/2024 01:15:00 - 02/01/2024 01:30:00,Spain (ES),Biomass,216.0
02/01/2024 01:30:00 - 02/01/2024 01:45:00,Spain (ES),Biomass,220.0
02/01/2024 01:45:00 - 02/01/2024 02:00:00,Spain (ES),Biomass,216.0
02/01/2024 02:00:00 - 02/01/2024 02:15:00,Spain (ES),Biomass,220.0
02/01/2024 02:15:00 - 02/01/2024 02:30:00,Spain (ES),Biomass,224.0
02/01/2024 02:30:00 - 02/01/2024 02:45:00,Spain (ES),Biomass,232.0
02/01/2024 02:45:00 - 02/01/2024 03:00:00,Spain (ES),Biomass,236.0
02/01/2024 03:00:00 - 02/01/2024 03:15:00,Spain (ES),Biomass,240.0
02/01/2024 03:15:00 - 02/01/2024 03:30:00,Spain (ES),Biomass,240.0
02/01/2024 03:30:00 - 02/01/2024 03:45:00,Spain (ES),Biomass,240.0
02/01/2024 03:45:00 - 02/01/2024 04:00:00,Spain (ES),Biomass,240.0
02/01/2024 04:00:00 - 02/01/2024 04:15:00,Spain (ES),Biomass,240.0
02/01/2024 04:15:00 - 02/01/2024 04:30:00,Spain (ES),Biomass,240.0
02/01/2024 04:30:00 - 02/01/2024 04:45:00,Spain (ES),Biomass,244.0
02/01/2024 04:45:00 - 02/01/2024 05:00:00,Spain (ES),Biomass,240.0
02/01/2024 05:00:00 - 02/01/2024 05:15:00,Spain (ES),Biomass,240.0
02/01/2024 05:15:00 - 02/01/2024 05:30:00,Spain (ES),Biomass,240.0
02/01/2024 05:30:00 - 02/01/2024 05:45:00,Spain (ES),Biomass,240.0
02/01/2024 05:45:00 - 02/01/2024 06:00:00,Spain (ES),Biomass,244.0
02/01/2024 06:00:00 - 02/01/2024 06:15:00,Spain (ES),Biomass,248.0
02/01/2024 06:15:00 - 02/01/2024 06:30:00,Spain (ES),Biomass,256.0
02/01/2024 06:30:00 - 02/01/2024 06:45:00,Spain (ES),Biomass,256.0
02/01/2024 06:45:00 - 02/01/2024 07:00:00,Spain (ES),Biomass,252.0
02/01/2024 07:00:00 - 02/01/2024 07:15:00,Spain (ES),Biomass,248.0
02/01/2024 07:15:00 - 02/01/2024 07:30:00,Spain (ES),Biomass,252.0
02/01/2024 07:30:00 - 02/01/2024 07:45:00,Spain (ES),Biomass,248.0
02/01/2024 07:45:00 - 02/01/2024 08:00:00,Spain (ES),Biomass,248.0
02/01/2024 08:00:00 - 02/01/2024 08:15:00,Spain (ES),Biomass,248.0
02/01/2024 08:15:00 - 02/01/2024 08:30:00,Spain (ES),Biomass,248.0
02/01/2024 08:30:00 - 02/01/2024 08:45:00,Spain (ES),Biomass,248.0
02/01/2024 08:45:00 - 02/01/2024 09:00:00,Spain (ES),Biomass,256.0
02/01/2024 09:00:00 - 02/01/2024 09:15:00,Spain (ES),Biomass,256.0
02/01/2024 09:15:00 - 02/01/2024 09:30:00,Spain (ES),Biomass,256.0
02/01/2024 09:30:00 - 02/01/2024 09:45:00,Spain (ES),Biomass,252.0
02/01/2024 09:45:00 - 02/01/2024 10:00:00,Spain (ES),Biomass,256.0
02/01/2024 10:00:00 - 02/01/2024 10:15:00,Spain (ES),Biomass,256.0
02/01/2024 10:15:00 - 02/01/2024 10:30:00,Spain (ES),Biomass,244.0
02/01/2024 10:30:00 - 02/01/2024 10:45:00,Spain (ES),Biomass,248.0
02/01/2024 10:45:00 - 02/01/2024 11:00:00,Spain (ES),Biomass,248.0
