"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"09/03/2024 05:30 - 09/03/2024 05:45","Spain (ES)","21416.00","21749.00"
"09/03/2024 05:45 - 09/03/2024 06:00","Spain (ES)","21476.00","21915.00"
"09/03/2024 06:00 - 09/03/2024 06:15","Spain (ES)","21588.00","22069.00"
"09/03/2024 06:15 - 09/03/2024 06:30","Spain (ES)","21976.00","22312.00"
"09/03/2024 06:30 - 09/03/2024 06:45","Spain (ES)","21956.00","22580.00"
"09/03/2024 06:45 - 09/03/2024 07:00","Spain (ES)","22288.00","22862.00"
"09/03/2024 07:00 - 09/03/2024 07:15","Spain (ES)","22576.00","23172.00"
"09/03/2024 07:15 - 09/03/2024 07:30","Spain (ES)","23116.00","23445.00"
"09/03/2024 07:30 - 09/03/2024 07:45","Spain (ES)","23076.00","23701.00"
"09/03/2024 07:45 - 09/03/2024 08:00","Spain (ES)","23408.00","23956.00"
"09/03/2024 08:00 - 09/03/2024 08:15","Spain (ES)","23700.00","24154.00"
"09/03/2024 08:15 - 09/03/2024 08:30","Spain (ES)","24044.00","24471.00"
"09/03/2024 08:30 - 09/03/2024 08:45","Spain (ES)","24576.00","24843.00"
"09/03/2024 08:45 - 09/03/2024 09:00","Spain (ES)","25284.00","25246.00"
"09/03/2024 09:00 - 09/03/2024 09:15","Spain (ES)","25884.00","25743.00"
"09/03/2024 09:15 - 09/03/2024 09:30","Spain (ES)","26604.00","26113.00"
"09/03/2024 09:30 - 09/03/2024 09:45","Spain (ES)","27300.00","26424.00"
"09/03/2024 09:45 - 09/03/2024 10:00","Spain (ES)","27948.00","26670.00"
"09/03/2024 10:00 - 09/03/2024 10:15","Spain (ES)","28316.00","26977.00"
"09/03/2024 10:15 - 09/03/2024 10:30","Spain (ES)","28976.00","27098.00"
"09/03/2024 10:30 - 09/03/2024 10:45","Spain (ES)","29204.00","27159.00"
"09/03/2024 10:45 - 09/03/2024 11:00","Spain (ES)","29260.00","27169.00"
"09/03/2024 11:00 - 09/03/2024 11:15","Spain (ES)","29460.00","27180.00"
"09/03/2024 11:15 - 09/03/2024 11:30","Spain (ES)","29468.00","27125.00"
"09/03/2024 11:30 - 09/03/2024 11:45","Spain (ES)","29584.00","27056.00"
"09/03/2024 11:45 - 09/03/2024 12:00","Spain (ES)","29608.00","26995.00"
"09/03/2024 12:00 - 09/03/2024 12:15","Spain (ES)","29704.00","26860.00"
"09/03/2024 12:15 - 09/03/2024 12:30","Spain (ES)","29636.00","26886.00"
"09/03/2024 12:30 - 09/03/2024 12:45","Spain (ES)","29768.00","26979.00"
"09/03/2024 12:45 - 09/03/2024 13:00","Spain (ES)","29892.00","27101.00"
"09/03/2024 13:00 - 09/03/2024 13:15","Spain (ES)","30212.00","27360.00"
"09/03/2024 13:15 - 09/03/2024 13:30","Spain (ES)","30192.00","27394.00"
"09/03/2024 13:30 - 09/03/2024 13:45","Spain (ES)","30296.00","27323.00"
"09/03/2024 13:45 - 09/03/2024 14:00","Spain (ES)","30436.00","27164.00"
"09/03/2024 14:00 - 09/03/2024 14:15","Spain (ES)","30360.00","26986.00"
"09/03/2024 14:15 - 09/03/2024 14:30","Spain (ES)","30112.00","26741.00"
"09/03/2024 14:30 - 09/03/2024 14:45","Spain (ES)","29908.00","26497.00"
"09/03/2024 14:45 - 09/03/2024 15:00","Spain (ES)","29520.00","26262.00"
"09/03/2024 15:00 - 09/03/2024 15:15","Spain (ES)","29096.00","25993.00"
"09/03/2024 15:15 - 09/03/2024 15:30","Spain (ES)","28496.00","25796.00"
"09/03/2024 15:30 - 09/03/2024 15:45","Spain (ES)","28212.00","25627.00"
"09/03/2024 15:45 - 09/03/2024 16:00","Spain (ES)","28000.00","25497.00"
"09/03/2024 16:00 - 09/03/2024 16:15","Spain (ES)","27816.00","25293.00"
"09/03/2024 16:15 - 09/03/2024 16:30","Spain (ES)","27380.00","25277.00"
"09/03/2024 16:30 - 09/03/2024 16:45","Spain (ES)","27076.00","25330.00"
"09/03/2024 16:45 - 09/03/2024 17:00","Spain (ES)","27012.00","25443.00"
"09/03/2024 17:00 - 09/03/2024 17:15","Spain (ES)","26748.00","25539.00"
"09/03/2024 17:15 - 09/03/2024 17:30","Spain (ES)","26880.00","25733.00"
"09/03/2024 17:30 - 09/03/2024 17:45","Spain (ES)","26792.00","25952.00"
"09/03/2024 17:45 - 09/03/2024 18:00","Spain (ES)","26700.00","26211.00"
"09/03/2024 18:00 - 09/03/2024 18:15","Spain (ES)","26844.00","26392.00"
"09/03/2024 18:15 - 09/03/2024 18:30","Spain (ES)","27108.00","26783.00"
"09/03/2024 18:30 - 09/03/2024 18:45","Spain (ES)","27308.00","27257.00"
"09/03/2024 18:45 - 09/03/2024 19:00","Spain (ES)","27684.00","27779.00"
"09/03/2024 19:00 - 09/03/2024 19:15","Spain (ES)","28016.00","28433.00"
"09/03/2024 19:15 - 09/03/2024 19:30","Spain (ES)","28612.00","28911.00"
"09/03/2024 19:30 - 09/03/2024 19:45","Spain (ES)","29380.00","29305.00"
"09/03/2024 19:45 - 09/03/2024 20:00","Spain (ES)","30052.00","29617.00"
"09/03/2024 20:00 - 09/03/2024 20:15","Spain (ES)","30432.00","29990.00"
"09/03/2024 20:15 - 09/03/2024 20:30","Spain (ES)","30476.00","30171.00"
"09/03/2024 20:30 - 09/03/2024 20:45","Spain (ES)","30864.00","30297.00"
"09/03/2024 20:45 - 09/03/2024 21:00","Spain (ES)","30940.00","30342.00"
"09/03/2024 21:00 - 09/03/2024 21:15","Spain (ES)","30932.00","30568.00"
"09/03/2024 21:15 - 09/03/2024 21:30","Spain (ES)","31148.00","30354.00"
"09/03/2024 21:30 - 09/03/2024 21:45","Spain (ES)","30900.00","29976.00"
"09/03/2024 21:45 - 09/03/2024 22:00","Spain (ES)","30460.00","29470.00"
"09/03/2024 22:00 - 09/03/2024 22:15","Spain (ES)","29864.00","28935.00"
"09/03/2024 22:15 - 09/03/2024 22:30","Spain (ES)","29196.00","28321.00"
"09/03/2024 22:30 - 09/03/2024 22:45","Spain (ES)","28628.00","27722.00"
"09/03/2024 22:45 - 09/03/2024 23:00","Spain (ES)","27840.00","27143.00"
"09/03/2024 23:00 - 09/03/2024 23:15","Spain (ES)","27420.00","26567.00"
"09/03/2024 23:15 - 09/03/2024 23:30","Spain (ES)","26804.00","26027.00"
"09/03/2024 23:30 - 09/03/2024 23:45","Spain (ES)","26132.00","25506.00"
"09/03/2024 23:45 - 10/03/2024 00:00","Spain (ES)","25704.00","25003.00"
"10/03/2024 00:00 - 10/03/2024 00:15","Spain (ES)","25252.00","24666.00"
"10/03/2024 00:15 - 10/03/2024 00:30","Spain (ES)","24684.00","24154.00"
"10/03/2024 00:30 - 10/03/2024 00:45","Spain (ES)","24208.00","23661.00"
"10/03/2024 00:45 - 10/03/2024 01:00","Spain (ES)","23864.00","23191.00"
"10/03/2024 01:00 - 10/03/2024 01:15","Spain (ES)","23176.00","22692.00"
"10/03/2024 01:15 - 10/03/2024 01:30","Spain (ES)","22440.00","22289.00"
"10/03/2024 01:30 - 10/03/2024 01:45","Spain (ES)","22056.00","21925.00"
"10/03/2024 01:45 - 10/03/2024 02:00","Spain (ES)","21728.00","21603.00"
"10/03/2024 02:00 - 10/03/2024 02:15","Spain (ES)","21432.00","21254.00"
"10/03/2024 02:15 - 10/03/2024 02:30","Spain (ES)","21032.00","21008.00"
"10/03/2024 02:30 - 10/03/2024 02:45","Spain (ES)","20704.00","20798.00"
"10/03/2024 02:45 - 10/03/2024 03:00","Spain (ES)","20552.00","20618.00"
"10/03/2024 03:00 - 10/03/2024 03:15","Spain (ES)","20424.00","20430.00"
"10/03/2024 03:15 - 10/03/2024 03:30","Spain (ES)","20084.00","20293.00"
"10/03/2024 03:30 - 10/03/2024 03:45","Spain (ES)","20008.00","20171.00"
"10/03/2024 03:45 - 10/03/2024 04:00","Spain (ES)","19904.00","20067.00"
"10/03/2024 04:00 - 10/03/2024 04:15","Spain (ES)","19748.00","19928.00"
"10/03/2024 04:15 - 10/03/2024 04:30","Spain (ES)","19708.00","19874.00"
"10/03/2024 04:30 - 10/03/2024 04:45","Spain (ES)","19760.00","19852.00"
"10/03/2024 04:45 - 10/03/2024 05:00","Spain (ES)","19784.00","19862.00"
"10/03/2024 05:00 - 10/03/2024 05:15","Spain (ES)","19608.00","19844.00"
"10/03/2024 05:15 - 10/03/2024 05:30","Spain (ES)","19612.00","19918.00"
"10/03/2024 05:30 - 10/03/2024 05:45","Spain (ES)","19596.00","20023.00"
"10/03/2024 05:45 - 10/03/2024 06:00","Spain (ES)","19748.00","20148.00"
"10/03/2024 06:00 - 10/03/2024 06:15","Spain (ES)","19756.00","20294.00"
"10/03/2024 06:15 - 10/03/2024 06:30","Spain (ES)","20044.00","20424.00"
"10/03/2024 06:30 - 10/03/2024 06:45","Spain (ES)","20292.00","20542.00"
"10/03/2024 06:45 - 10/03/2024 07:00","Spain (ES)","20480.00","20653.00"
"10/03/2024 07:00 - 10/03/2024 07:15","Spain (ES)","20588.00","20741.00"
"10/03/2024 07:15 - 10/03/2024 07:30","Spain (ES)","20788.00","20860.00"
"10/03/2024 07:30 - 10/03/2024 07:45","Spain (ES)","20752.00","20995.00"
"10/03/2024 07:45 - 10/03/2024 08:00","Spain (ES)","20640.00","21160.00"
"10/03/2024 08:00 - 10/03/2024 08:15","Spain (ES)","20784.00","21257.00"
"10/03/2024 08:15 - 10/03/2024 08:30","Spain (ES)","20932.00","21520.00"
"10/03/2024 08:30 - 10/03/2024 08:45","Spain (ES)","21240.00","21848.00"
"10/03/2024 08:45 - 10/03/2024 09:00","Spain (ES)","21468.00","22231.00"
"10/03/2024 09:00 - 10/03/2024 09:15","Spain (ES)","22036.00","22641.00"
"10/03/2024 09:15 - 10/03/2024 09:30","Spain (ES)","22428.00","23086.00"
"10/03/2024 09:30 - 10/03/2024 09:45","Spain (ES)","22764.00","23535.00"
"10/03/2024 09:45 - 10/03/2024 10:00","Spain (ES)","23240.00","23961.00"
"10/03/2024 10:00 - 10/03/2024 10:15","Spain (ES)","23632.00","24525.00"
"10/03/2024 10:15 - 10/03/2024 10:30","Spain (ES)","23904.00","24812.00"
"10/03/2024 10:30 - 10/03/2024 10:45","Spain (ES)","23904.00","24990.00"
"10/03/2024 10:45 - 10/03/2024 11:00","Spain (ES)","23972.00","25077.00"
"10/03/2024 11:00 - 10/03/2024 11:15","Spain (ES)","24008.00","25152.00"
"10/03/2024 11:15 - 10/03/2024 11:30","Spain (ES)","24000.00","25138.00"
"10/03/2024 11:30 - 10/03/2024 11:45","Spain (ES)","23980.00","25114.00"
"10/03/2024 11:45 - 10/03/2024 12:00","Spain (ES)","24220.00","25097.00"
"10/03/2024 12:00 - 10/03/2024 12:15","Spain (ES)","24200.00","25017.00"
"10/03/2024 12:15 - 10/03/2024 12:30","Spain (ES)","24192.00","25065.00"
"10/03/2024 12:30 - 10/03/2024 12:45","Spain (ES)","24384.00","25164.00"
"10/03/2024 12:45 - 10/03/2024 13:00","Spain (ES)","24472.00","25308.00"
"10/03/2024 13:00 - 10/03/2024 13:15","Spain (ES)","24684.00","25472.00"
"10/03/2024 13:15 - 10/03/2024 13:30","Spain (ES)","24868.00","25664.00"
"10/03/2024 13:30 - 10/03/2024 13:45","Spain (ES)","25092.00","25857.00"
"10/03/2024 13:45 - 10/03/2024 14:00","Spain (ES)","25280.00","26008.00"
"10/03/2024 14:00 - 10/03/2024 14:15","Spain (ES)","25404.00","26343.00"
"10/03/2024 14:15 - 10/03/2024 14:30","Spain (ES)","25372.00","26275.00"
"10/03/2024 14:30 - 10/03/2024 14:45","Spain (ES)","25076.00","26047.00"
"10/03/2024 14:45 - 10/03/2024 15:00","Spain (ES)","24696.00","25710.00"
"10/03/2024 15:00 - 10/03/2024 15:15","Spain (ES)","24300.00","25241.00"
"10/03/2024 15:15 - 10/03/2024 15:30","Spain (ES)","24072.00","24904.00"
"10/03/2024 15:30 - 10/03/2024 15:45","Spain (ES)","23656.00","24658.00"
"10/03/2024 15:45 - 10/03/2024 16:00","Spain (ES)","23552.00","24501.00"
"10/03/2024 16:00 - 10/03/2024 16:15","Spain (ES)","23400.00","24317.00"
"10/03/2024 16:15 - 10/03/2024 16:30","Spain (ES)","23300.00","24284.00"
"10/03/2024 16:30 - 10/03/2024 16:45","Spain (ES)","23076.00","24288.00"
"10/03/2024 16:45 - 10/03/2024 17:00","Spain (ES)","23196.00","24331.00"
"10/03/2024 17:00 - 10/03/2024 17:15","Spain (ES)","23236.00","24315.00"
"10/03/2024 17:15 - 10/03/2024 17:30","Spain (ES)","23588.00","24447.00"
"10/03/2024 17:30 - 10/03/2024 17:45","Spain (ES)","23544.00","24633.00"
"10/03/2024 17:45 - 10/03/2024 18:00","Spain (ES)","23672.00","24891.00"
"10/03/2024 18:00 - 10/03/2024 18:15","Spain (ES)","24344.00","25032.00"
"10/03/2024 18:15 - 10/03/2024 18:30","Spain (ES)","24756.00","25498.00"
"10/03/2024 18:30 - 10/03/2024 18:45","Spain (ES)","25256.00","26089.00"
"10/03/2024 18:45 - 10/03/2024 19:00","Spain (ES)","25628.00","26763.00"
"10/03/2024 19:00 - 10/03/2024 19:15","Spain (ES)","26140.00","27588.00"
"10/03/2024 19:15 - 10/03/2024 19:30","Spain (ES)","27116.00","28259.00"
"10/03/2024 19:30 - 10/03/2024 19:45","Spain (ES)","28276.00","28851.00"
"10/03/2024 19:45 - 10/03/2024 20:00","Spain (ES)","29048.00","29352.00"
"10/03/2024 20:00 - 10/03/2024 20:15","Spain (ES)","29576.00","29980.00"
"10/03/2024 20:15 - 10/03/2024 20:30","Spain (ES)","29992.00","30289.00"
"10/03/2024 20:30 - 10/03/2024 20:45","Spain (ES)","30432.00","30493.00"
"10/03/2024 20:45 - 10/03/2024 21:00","Spain (ES)","30676.00","30575.00"
"10/03/2024 21:00 - 10/03/2024 21:15","Spain (ES)","30936.00","30834.00"
"10/03/2024 21:15 - 10/03/2024 21:30","Spain (ES)","30924.00","30615.00"
"10/03/2024 21:30 - 10/03/2024 21:45","Spain (ES)","30816.00","30228.00"
"10/03/2024 21:45 - 10/03/2024 22:00","Spain (ES)","30356.00","29707.00"
"10/03/2024 22:00 - 10/03/2024 22:15","Spain (ES)","29812.00","29175.00"
"10/03/2024 22:15 - 10/03/2024 22:30","Spain (ES)","29304.00","28524.00"
"10/03/2024 22:30 - 10/03/2024 22:45","Spain (ES)","28736.00","27870.00"
"10/03/2024 22:45 - 10/03/2024 23:00","Spain (ES)","28128.00","27227.00"
"10/03/2024 23:00 - 10/03/2024 23:15","Spain (ES)","27608.00","26582.00"
"10/03/2024 23:15 - 10/03/2024 23:30","Spain (ES)","26744.00","25971.00"
"10/03/2024 23:30 - 10/03/2024 23:45","Spain (ES)","26080.00","25382.00"
"10/03/2024 23:45 - 11/03/2024 00:00","Spain (ES)","25336.00","24821.00"
"11/03/2024 00:00 - 11/03/2024 00:15","Spain (ES)","24848.00","24441.00"
"11/03/2024 00:15 - 11/03/2024 00:30","Spain (ES)","24308.00","23925.00"
"11/03/2024 00:30 - 11/03/2024 00:45","Spain (ES)","23844.00","23438.00"
"11/03/2024 00:45 - 11/03/2024 01:00","Spain (ES)","23416.00","22987.00"
"11/03/2024 01:00 - 11/03/2024 01:15","Spain (ES)","22932.00","22494.00"
"11/03/2024 01:15 - 11/03/2024 01:30","Spain (ES)","22624.00","22135.00"
"11/03/2024 01:30 - 11/03/2024 01:45","Spain (ES)","22360.00","21828.00"
"11/03/2024 01:45 - 11/03/2024 02:00","Spain (ES)","22088.00","21570.00"
"11/03/2024 02:00 - 11/03/2024 02:15","Spain (ES)","21732.00","21291.00"
"11/03/2024 02:15 - 11/03/2024 02:30","Spain (ES)","21612.00","21108.00"
"11/03/2024 02:30 - 11/03/2024 02:45","Spain (ES)","21428.00","20955.00"
"11/03/2024 02:45 - 11/03/2024 03:00","Spain (ES)","21220.00","20832.00"
"11/03/2024 03:00 - 11/03/2024 03:15","Spain (ES)","21052.00","20671.00"
"11/03/2024 03:15 - 11/03/2024 03:30","Spain (ES)","20988.00","20618.00"
"11/03/2024 03:30 - 11/03/2024 03:45","Spain (ES)","20980.00","20603.00"
"11/03/2024 03:45 - 11/03/2024 04:00","Spain (ES)","21008.00","20620.00"
"11/03/2024 04:00 - 11/03/2024 04:15","Spain (ES)","20824.00","20612.00"
"11/03/2024 04:15 - 11/03/2024 04:30","Spain (ES)","21012.00","20673.00"
"11/03/2024 04:30 - 11/03/2024 04:45","Spain (ES)","20944.00","20754.00"
"11/03/2024 04:45 - 11/03/2024 05:00","Spain (ES)","21044.00","20897.00"
"11/03/2024 05:00 - 11/03/2024 05:15","Spain (ES)","21000.00","20827.00"
"11/03/2024 05:15 - 11/03/2024 05:30","Spain (ES)","21592.00","21239.00"
"11/03/2024 05:30 - 11/03/2024 05:45","Spain (ES)","21928.00","21846.00"
"11/03/2024 05:45 - 11/03/2024 06:00","Spain (ES)","22164.00","22627.00"
"11/03/2024 06:00 - 11/03/2024 06:15","Spain (ES)","22792.00","23453.00"
"11/03/2024 06:15 - 11/03/2024 06:30","Spain (ES)","24240.00","24469.00"
"11/03/2024 06:30 - 11/03/2024 06:45","Spain (ES)","25152.00","25546.00"
"11/03/2024 06:45 - 11/03/2024 07:00","Spain (ES)","26100.00","26629.00"
"11/03/2024 07:00 - 11/03/2024 07:15","Spain (ES)","27160.00","27992.00"
"11/03/2024 07:15 - 11/03/2024 07:30","Spain (ES)","28640.00","28921.00"
"11/03/2024 07:30 - 11/03/2024 07:45","Spain (ES)","29780.00","29690.00"
"11/03/2024 07:45 - 11/03/2024 08:00","Spain (ES)","30324.00","30301.00"
"11/03/2024 08:00 - 11/03/2024 08:15","Spain (ES)","30788.00","31034.00"
"11/03/2024 08:15 - 11/03/2024 08:30","Spain (ES)","31328.00","31376.00"
"11/03/2024 08:30 - 11/03/2024 08:45","Spain (ES)","31632.00","31602.00"
"11/03/2024 08:45 - 11/03/2024 09:00","Spain (ES)","31552.00","31726.00"
"11/03/2024 09:00 - 11/03/2024 09:15","Spain (ES)","31164.00","31901.00"
"11/03/2024 09:15 - 11/03/2024 09:30","Spain (ES)","30928.00","31860.00"
"11/03/2024 09:30 - 11/03/2024 09:45","Spain (ES)","30844.00","31755.00"
"11/03/2024 09:45 - 11/03/2024 10:00","Spain (ES)","30868.00","31601.00"
"11/03/2024 10:00 - 11/03/2024 10:15","Spain (ES)","30584.00","31438.00"
"11/03/2024 10:15 - 11/03/2024 10:30","Spain (ES)","30176.00","31231.00"
"11/03/2024 10:30 - 11/03/2024 10:45","Spain (ES)","29896.00","31020.00"
"11/03/2024 10:45 - 11/03/2024 11:00","Spain (ES)","29888.00","30822.00"
"11/03/2024 11:00 - 11/03/2024 11:15","Spain (ES)","29736.00","30558.00"
"11/03/2024 11:15 - 11/03/2024 11:30","Spain (ES)","29328.00","30434.00"
"11/03/2024 11:30 - 11/03/2024 11:45","Spain (ES)","29200.00","30367.00"
"11/03/2024 11:45 - 11/03/2024 12:00","Spain (ES)","29120.00","30350.00"
"11/03/2024 12:00 - 11/03/2024 12:15","Spain (ES)","29040.00","30338.00"
"11/03/2024 12:15 - 11/03/2024 12:30","Spain (ES)","28728.00","30377.00"
"11/03/2024 12:30 - 11/03/2024 12:45","Spain (ES)","28668.00","30424.00"
"11/03/2024 12:45 - 11/03/2024 13:00","Spain (ES)","28732.00","30458.00"
"11/03/2024 13:00 - 11/03/2024 13:15","Spain (ES)","28816.00","30570.00"
"11/03/2024 13:15 - 11/03/2024 13:30","Spain (ES)","28768.00","30519.00"
"11/03/2024 13:30 - 11/03/2024 13:45","Spain (ES)","28936.00","30402.00"
"11/03/2024 13:45 - 11/03/2024 14:00","Spain (ES)","28888.00","30236.00"
"11/03/2024 14:00 - 11/03/2024 14:15","Spain (ES)","28800.00","30032.00"
"11/03/2024 14:15 - 11/03/2024 14:30","Spain (ES)","28664.00","29847.00"
"11/03/2024 14:30 - 11/03/2024 14:45","Spain (ES)","28684.00","29686.00"
"11/03/2024 14:45 - 11/03/2024 15:00","Spain (ES)","28704.00","29548.00"
"11/03/2024 15:00 - 11/03/2024 15:15","Spain (ES)","28356.00","29401.00"
"11/03/2024 15:15 - 11/03/2024 15:30","Spain (ES)","28468.00","29289.00"
"11/03/2024 15:30 - 11/03/2024 15:45","Spain (ES)","28556.00","29185.00"
"11/03/2024 15:45 - 11/03/2024 16:00","Spain (ES)","28536.00","29106.00"
"11/03/2024 16:00 - 11/03/2024 16:15","Spain (ES)","28532.00","28942.00"
"11/03/2024 16:15 - 11/03/2024 16:30","Spain (ES)","28640.00","28975.00"
"11/03/2024 16:30 - 11/03/2024 16:45","Spain (ES)","28588.00","29086.00"
"11/03/2024 16:45 - 11/03/2024 17:00","Spain (ES)","28580.00","29249.00"
"11/03/2024 17:00 - 11/03/2024 17:15","Spain (ES)","28596.00","29464.00"
"11/03/2024 17:15 - 11/03/2024 17:30","Spain (ES)","28976.00","29621.00"
"11/03/2024 17:30 - 11/03/2024 17:45","Spain (ES)","29136.00","29739.00"
"11/03/2024 17:45 - 11/03/2024 18:00","Spain (ES)","29356.00","29870.00"
"11/03/2024 18:00 - 11/03/2024 18:15","Spain (ES)","29508.00","29778.00"
"11/03/2024 18:15 - 11/03/2024 18:30","Spain (ES)","29712.00","30142.00"
"11/03/2024 18:30 - 11/03/2024 18:45","Spain (ES)","30128.00","30703.00"
"11/03/2024 18:45 - 11/03/2024 19:00","Spain (ES)","30544.00","31402.00"
"11/03/2024 19:00 - 11/03/2024 19:15","Spain (ES)","31116.00","32289.00"
"11/03/2024 19:15 - 11/03/2024 19:30","Spain (ES)","31900.00","33022.00"
"11/03/2024 19:30 - 11/03/2024 19:45","Spain (ES)","32592.00","33656.00"
"11/03/2024 19:45 - 11/03/2024 20:00","Spain (ES)","33300.00","34169.00"
"11/03/2024 20:00 - 11/03/2024 20:15","Spain (ES)","33800.00","34871.00"
"11/03/2024 20:15 - 11/03/2024 20:30","Spain (ES)","34188.00","35103.00"
"11/03/2024 20:30 - 11/03/2024 20:45","Spain (ES)","34512.00","35173.00"
"11/03/2024 20:45 - 11/03/2024 21:00","Spain (ES)","34632.00","35068.00"
"11/03/2024 21:00 - 11/03/2024 21:15","Spain (ES)","34512.00","35171.00"
"11/03/2024 21:15 - 11/03/2024 21:30","Spain (ES)","34340.00","34671.00"
"11/03/2024 21:30 - 11/03/2024 21:45","Spain (ES)","34132.00","33969.00"
"11/03/2024 21:45 - 11/03/2024 22:00","Spain (ES)","33212.00","33118.00"
"11/03/2024 22:00 - 11/03/2024 22:15","Spain (ES)","32236.00","32214.00"
"11/03/2024 22:15 - 11/03/2024 22:30","Spain (ES)","31296.00","31272.00"
"11/03/2024 22:30 - 11/03/2024 22:45","Spain (ES)","30668.00","30377.00"
"11/03/2024 22:45 - 11/03/2024 23:00","Spain (ES)","29804.00","29544.00"
"11/03/2024 23:00 - 11/03/2024 23:15","Spain (ES)","28960.00","28677.00"
"11/03/2024 23:15 - 11/03/2024 23:30","Spain (ES)","28300.00","27981.00"
"11/03/2024 23:30 - 11/03/2024 23:45","Spain (ES)","27752.00","27354.00"
"11/03/2024 23:45 - 12/03/2024 00:00","Spain (ES)","27044.00","26785.00"
"12/03/2024 00:00 - 12/03/2024 00:15","Spain (ES)","26360.00","25943.00"
"12/03/2024 00:15 - 12/03/2024 00:30","Spain (ES)","25944.00","25497.00"
"12/03/2024 00:30 - 12/03/2024 00:45","Spain (ES)","25596.00","25069.00"
"12/03/2024 00:45 - 12/03/2024 01:00","Spain (ES)","25128.00","24666.00"
"12/03/2024 01:00 - 12/03/2024 01:15","Spain (ES)","24556.00","24225.00"
"12/03/2024 01:15 - 12/03/2024 01:30","Spain (ES)","24224.00","23894.00"
"12/03/2024 01:30 - 12/03/2024 01:45","Spain (ES)","23904.00","23607.00"
"12/03/2024 01:45 - 12/03/2024 02:00","Spain (ES)","23648.00","23359.00"
"12/03/2024 02:00 - 12/03/2024 02:15","Spain (ES)","23264.00","23097.00"
"12/03/2024 02:15 - 12/03/2024 02:30","Spain (ES)","23064.00","22912.00"
"12/03/2024 02:30 - 12/03/2024 02:45","Spain (ES)","22896.00","22749.00"
"12/03/2024 02:45 - 12/03/2024 03:00","Spain (ES)","22692.00","22610.00"
"12/03/2024 03:00 - 12/03/2024 03:15","Spain (ES)","22632.00","22438.00"
"12/03/2024 03:15 - 12/03/2024 03:30","Spain (ES)","22604.00","22359.00"
"12/03/2024 03:30 - 12/03/2024 03:45","Spain (ES)","22480.00","22314.00"
"12/03/2024 03:45 - 12/03/2024 04:00","Spain (ES)","22464.00","22301.00"
"12/03/2024 04:00 - 12/03/2024 04:15","Spain (ES)","22336.00","22252.00"
"12/03/2024 04:15 - 12/03/2024 04:30","Spain (ES)","22500.00","22293.00"
"12/03/2024 04:30 - 12/03/2024 04:45","Spain (ES)","22520.00","22363.00"
"12/03/2024 04:45 - 12/03/2024 05:00","Spain (ES)","22552.00","22494.00"
"12/03/2024 05:00 - 12/03/2024 05:15","Spain (ES)","22676.00","22441.00"
"12/03/2024 05:15 - 12/03/2024 05:30","Spain (ES)","23012.00","22810.00"
"12/03/2024 05:30 - 12/03/2024 05:45","Spain (ES)","23200.00","23347.00"
"12/03/2024 05:45 - 12/03/2024 06:00","Spain (ES)","23456.00","24043.00"
"12/03/2024 06:00 - 12/03/2024 06:15","Spain (ES)","23836.00","24733.00"
"12/03/2024 06:15 - 12/03/2024 06:30","Spain (ES)","25036.00","25687.00"
"12/03/2024 06:30 - 12/03/2024 06:45","Spain (ES)","25764.00","26733.00"
"12/03/2024 06:45 - 12/03/2024 07:00","Spain (ES)","26472.00","27796.00"
"12/03/2024 07:00 - 12/03/2024 07:15","Spain (ES)","27388.00","29210.00"
"12/03/2024 07:15 - 12/03/2024 07:30","Spain (ES)","28796.00","30058.00"
"12/03/2024 07:30 - 12/03/2024 07:45","Spain (ES)","29524.00","30681.00"
"12/03/2024 07:45 - 12/03/2024 08:00","Spain (ES)","30112.00","31091.00"
"12/03/2024 08:00 - 12/03/2024 08:15","Spain (ES)","30400.00","31595.00"
"12/03/2024 08:15 - 12/03/2024 08:30","Spain (ES)","30996.00","31684.00"
"12/03/2024 08:30 - 12/03/2024 08:45","Spain (ES)","31348.00","31659.00"
"12/03/2024 08:45 - 12/03/2024 09:00","Spain (ES)","31168.00","31546.00"
"12/03/2024 09:00 - 12/03/2024 09:15","Spain (ES)","30884.00","31436.00"
"12/03/2024 09:15 - 12/03/2024 09:30","Spain (ES)","30740.00","31214.00"
"12/03/2024 09:30 - 12/03/2024 09:45","Spain (ES)","30864.00","30970.00"
"12/03/2024 09:45 - 12/03/2024 10:00","Spain (ES)","30540.00","30715.00"
"12/03/2024 10:00 - 12/03/2024 10:15","Spain (ES)","30412.00","30439.00"
"12/03/2024 10:15 - 12/03/2024 10:30","Spain (ES)","30040.00","30192.00"
"12/03/2024 10:30 - 12/03/2024 10:45","Spain (ES)","29972.00","29960.00"
"12/03/2024 10:45 - 12/03/2024 11:00","Spain (ES)","29704.00","29748.00"
"12/03/2024 11:00 - 12/03/2024 11:15","Spain (ES)","29488.00","29511.00"
"12/03/2024 11:15 - 12/03/2024 11:30","Spain (ES)","28868.00","29343.00"
"12/03/2024 11:30 - 12/03/2024 11:45","Spain (ES)","28632.00","29199.00"
"12/03/2024 11:45 - 12/03/2024 12:00","Spain (ES)","28472.00","29084.00"
"12/03/2024 12:00 - 12/03/2024 12:15","Spain (ES)","28264.00","28937.00"
"12/03/2024 12:15 - 12/03/2024 12:30","Spain (ES)","28316.00","28886.00"
"12/03/2024 12:30 - 12/03/2024 12:45","Spain (ES)","28064.00","28868.00"
