"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2024 17:45 - 01/01/2024 18:00","Spain (ES)","22460.00","23307.00"
"01/01/2024 18:00 - 01/01/2024 18:15","Spain (ES)","23180.00","24052.00"
"01/01/2024 18:15 - 01/01/2024 18:30","Spain (ES)","24032.00","24573.00"
"01/01/2024 18:30 - 01/01/2024 18:45","Spain (ES)","24720.00","24986.00"
"01/01/2024 18:45 - 01/01/2024 19:00","Spain (ES)","25232.00","25317.00"
"01/01/2024 19:00 - 01/01/2024 19:15","Spain (ES)","25524.00","25608.00"
"01/01/2024 19:15 - 01/01/2024 19:30","Spain (ES)","25900.00","25897.00"
"01/01/2024 19:30 - 01/01/2024 19:45","Spain (ES)","26116.00","26214.00"
"01/01/2024 19:45 - 01/01/2024 20:00","Spain (ES)","26308.00","26537.00"
"01/01/2024 20:00 - 01/01/2024 20:15","Spain (ES)","26536.00","26982.00"
"01/01/2024 20:15 - 01/01/2024 20:30","Spain (ES)","26892.00","27210.00"
"01/01/2024 20:30 - 01/01/2024 20:45","Spain (ES)","27176.00","27344.00"
"01/01/2024 20:45 - 01/01/2024 21:00","Spain (ES)","27332.00","27384.00"
"01/01/2024 21:00 - 01/01/2024 21:15","Spain (ES)","27516.00","27494.00"
"01/01/2024 21:15 - 01/01/2024 21:30","Spain (ES)","27640.00","27371.00"
"01/01/2024 21:30 - 01/01/2024 21:45","Spain (ES)","27644.00","27175.00"
"01/01/2024 21:45 - 01/01/2024 22:00","Spain (ES)","27372.00","26904.00"
"01/01/2024 22:00 - 01/01/2024 22:15","Spain (ES)","26988.00","26731.00"
"01/01/2024 22:15 - 01/01/2024 22:30","Spain (ES)","26508.00","26284.00"
"01/01/2024 22:30 - 01/01/2024 22:45","Spain (ES)","26036.00","25748.00"
"01/01/2024 22:45 - 01/01/2024 23:00","Spain (ES)","25532.00","25146.00"
"01/01/2024 23:00 - 01/01/2024 23:15","Spain (ES)","25024.00","24524.00"
"01/01/2024 23:15 - 01/01/2024 23:30","Spain (ES)","24300.00","23886.00"
"01/01/2024 23:30 - 01/01/2024 23:45","Spain (ES)","23776.00","23272.00"
"01/01/2024 23:45 - 02/01/2024 00:00","Spain (ES)","23072.00","22690.00"
"02/01/2024 00:00 - 02/01/2024 00:15","Spain (ES)","22504.00","22088.00"
"02/01/2024 00:15 - 02/01/2024 00:30","Spain (ES)","22112.00","21553.00"
"02/01/2024 00:30 - 02/01/2024 00:45","Spain (ES)","21576.00","21056.00"
"02/01/2024 00:45 - 02/01/2024 01:00","Spain (ES)","21132.00","20597.00"
"02/01/2024 01:00 - 02/01/2024 01:15","Spain (ES)","20672.00","20116.00"
"02/01/2024 01:15 - 02/01/2024 01:30","Spain (ES)","20116.00","19734.00"
"02/01/2024 01:30 - 02/01/2024 01:45","Spain (ES)","19844.00","19390.00"
"02/01/2024 01:45 - 02/01/2024 02:00","Spain (ES)","19468.00","19087.00"
"02/01/2024 02:00 - 02/01/2024 02:15","Spain (ES)","19184.00","18744.00"
"02/01/2024 02:15 - 02/01/2024 02:30","Spain (ES)","18984.00","18531.00"
"02/01/2024 02:30 - 02/01/2024 02:45","Spain (ES)","18764.00","18363.00"
"02/01/2024 02:45 - 02/01/2024 03:00","Spain (ES)","18636.00","18234.00"
"02/01/2024 03:00 - 02/01/2024 03:15","Spain (ES)","18496.00","18099.00"
"02/01/2024 03:15 - 02/01/2024 03:30","Spain (ES)","18428.00","18019.00"
"02/01/2024 03:30 - 02/01/2024 03:45","Spain (ES)","18344.00","17950.00"
"02/01/2024 03:45 - 02/01/2024 04:00","Spain (ES)","18284.00","17901.00"
"02/01/2024 04:00 - 02/01/2024 04:15","Spain (ES)","18236.00","17789.00"
"02/01/2024 04:15 - 02/01/2024 04:30","Spain (ES)","18276.00","17806.00"
"02/01/2024 04:30 - 02/01/2024 04:45","Spain (ES)","18336.00","17874.00"
"02/01/2024 04:45 - 02/01/2024 05:00","Spain (ES)","18336.00","18018.00"
"02/01/2024 05:00 - 02/01/2024 05:15","Spain (ES)","18364.00","18003.00"
"02/01/2024 05:15 - 02/01/2024 05:30","Spain (ES)","18652.00","18385.00"
"02/01/2024 05:30 - 02/01/2024 05:45","Spain (ES)","18936.00","18920.00"
"02/01/2024 05:45 - 02/01/2024 06:00","Spain (ES)","19148.00","19593.00"
"02/01/2024 06:00 - 02/01/2024 06:15","Spain (ES)","19540.00","20292.00"
"02/01/2024 06:15 - 02/01/2024 06:30","Spain (ES)","20736.00","21159.00"
