Time_Interval,Country_Area,Total_Generation
02/12/2024 14:45:00 - 02/12/2024 15:00:00,Spain (ES),31416
02/12/2024 15:00:00 - 02/12/2024 15:15:00,Spain (ES),31324
02/12/2024 15:15:00 - 02/12/2024 15:30:00,Spain (ES),31544
02/12/2024 15:30:00 - 02/12/2024 15:45:00,Spain (ES),31668
02/12/2024 15:45:00 - 02/12/2024 16:00:00,Spain (ES),31648
02/12/2024 16:00:00 - 02/12/2024 16:15:00,Spain (ES),31308
02/12/2024 16:15:00 - 02/12/2024 16:30:00,Spain (ES),30868
02/12/2024 16:30:00 - 02/12/2024 16:45:00,Spain (ES),30868
02/12/2024 16:45:00 - 02/12/2024 17:00:00,Spain (ES),31400
02/12/2024 17:00:00 - 02/12/2024 17:15:00,Spain (ES),31712
02/12/2024 17:15:00 - 02/12/2024 17:30:00,Spain (ES),30996
02/12/2024 17:30:00 - 02/12/2024 17:45:00,Spain (ES),31196
02/12/2024 17:45:00 - 02/12/2024 18:00:00,Spain (ES),31720
02/12/2024 18:00:00 - 02/12/2024 18:15:00,Spain (ES),32104
02/12/2024 18:15:00 - 02/12/2024 18:30:00,Spain (ES),31828
02/12/2024 18:30:00 - 02/12/2024 18:45:00,Spain (ES),32044
02/12/2024 18:45:00 - 02/12/2024 19:00:00,Spain (ES),32384
02/12/2024 19:00:00 - 02/12/2024 19:15:00,Spain (ES),32700
02/12/2024 19:15:00 - 02/12/2024 19:30:00,Spain (ES),32624
02/12/2024 19:30:00 - 02/12/2024 19:45:00,Spain (ES),32616
02/12/2024 19:45:00 - 02/12/2024 20:00:00,Spain (ES),32732
02/12/2024 20:00:00 - 02/12/2024 20:15:00,Spain (ES),32892
02/12/2024 20:15:00 - 02/12/2024 20:30:00,Spain (ES),33176
02/12/2024 20:30:00 - 02/12/2024 20:45:00,Spain (ES),33184
02/12/2024 20:45:00 - 02/12/2024 21:00:00,Spain (ES),33160
02/12/2024 21:00:00 - 02/12/2024 21:15:00,Spain (ES),33236
02/12/2024 21:15:00 - 02/12/2024 21:30:00,Spain (ES),33628
02/12/2024 21:30:00 - 02/12/2024 21:45:00,Spain (ES),33304
02/12/2024 21:45:00 - 02/12/2024 22:00:00,Spain (ES),32764
02/12/2024 22:00:00 - 02/12/2024 22:15:00,Spain (ES),31576
02/12/2024 22:15:00 - 02/12/2024 22:30:00,Spain (ES),30828
02/12/2024 22:30:00 - 02/12/2024 22:45:00,Spain (ES),30184
02/12/2024 22:45:00 - 02/12/2024 23:00:00,Spain (ES),29364
02/12/2024 23:00:00 - 02/12/2024 23:15:00,Spain (ES),28560
02/12/2024 23:15:00 - 02/12/2024 23:30:00,Spain (ES),27808
02/12/2024 23:30:00 - 02/12/2024 23:45:00,Spain (ES),26864
02/12/2024 23:45:00 - 03/12/2024 00:00:00,Spain (ES),26184
03/01/2024 00:00:00 - 03/01/2024 00:15:00,Spain (ES),28304
03/01/2024 00:15:00 - 03/01/2024 00:30:00,Spain (ES),28508
03/01/2024 00:30:00 - 03/01/2024 00:45:00,Spain (ES),28504
03/01/2024 00:45:00 - 03/01/2024 01:00:00,Spain (ES),28276
03/01/2024 01:00:00 - 03/01/2024 01:15:00,Spain (ES),28000
03/01/2024 01:15:00 - 03/01/2024 01:30:00,Spain (ES),27776
03/01/2024 01:30:00 - 03/01/2024 01:45:00,Spain (ES),27552
03/01/2024 01:45:00 - 03/01/2024 02:00:00,Spain (ES),27128
03/01/2024 02:00:00 - 03/01/2024 02:15:00,Spain (ES),26956
03/01/2024 02:15:00 - 03/01/2024 02:30:00,Spain (ES),27188
03/01/2024 02:30:00 - 03/01/2024 02:45:00,Spain (ES),27152
03/01/2024 02:45:00 - 03/01/2024 03:00:00,Spain (ES),26964
03/01/2024 03:00:00 - 03/01/2024 03:15:00,Spain (ES),26720
03/01/2024 03:15:00 - 03/01/2024 03:30:00,Spain (ES),26400
03/01/2024 03:30:00 - 03/01/2024 03:45:00,Spain (ES),26368
03/01/2024 03:45:00 - 03/01/2024 04:00:00,Spain (ES),26260
03/01/2024 04:00:00 - 03/01/2024 04:15:00,Spain (ES),26108
03/01/2024 04:15:00 - 03/01/2024 04:30:00,Spain (ES),26312
03/01/2024 04:30:00 - 03/01/2024 04:45:00,Spain (ES),26452
03/01/2024 04:45:00 - 03/01/2024 05:00:00,Spain (ES),26244
03/01/2024 05:00:00 - 03/01/2024 05:15:00,Spain (ES),26364
03/01/2024 05:15:00 - 03/01/2024 05:30:00,Spain (ES),25964
03/01/2024 05:30:00 - 03/01/2024 05:45:00,Spain (ES),25996
03/01/2024 05:45:00 - 03/01/2024 06:00:00,Spain (ES),26264
03/01/2024 06:00:00 - 03/01/2024 06:15:00,Spain (ES),26612
03/01/2024 06:15:00 - 03/01/2024 06:30:00,Spain (ES),26628
03/01/2024 06:30:00 - 03/01/2024 06:45:00,Spain (ES),26832
03/01/2024 06:45:00 - 03/01/2024 07:00:00,Spain (ES),27048
03/01/2024 07:00:00 - 03/01/2024 07:15:00,Spain (ES),27400
03/01/2024 07:15:00 - 03/01/2024 07:30:00,Spain (ES),27416
03/01/2024 07:30:00 - 03/01/2024 07:45:00,Spain (ES),27480
03/01/2024 07:45:00 - 03/01/2024 08:00:00,Spain (ES),27772
03/01/2024 08:00:00 - 03/01/2024 08:15:00,Spain (ES),27848
03/01/2024 08:15:00 - 03/01/2024 08:30:00,Spain (ES),27624
03/01/2024 08:30:00 - 03/01/2024 08:45:00,Spain (ES),27808
03/01/2024 08:45:00 - 03/01/2024 09:00:00,Spain (ES),28216
03/01/2024 09:00:00 - 03/01/2024 09:15:00,Spain (ES),28712
03/01/2024 09:15:00 - 03/01/2024 09:30:00,Spain (ES),29640
03/01/2024 09:30:00 - 03/01/2024 09:45:00,Spain (ES),30176
03/01/2024 09:45:00 - 03/01/2024 10:00:00,Spain (ES),30360
03/01/2024 10:00:00 - 03/01/2024 10:15:00,Spain (ES),30544
03/01/2024 10:15:00 - 03/01/2024 10:30:00,Spain (ES),30960
03/01/2024 10:30:00 - 03/01/2024 10:45:00,Spain (ES),31368
03/01/2024 10:45:00 - 03/01/2024 11:00:00,Spain (ES),31452
03/01/2024 11:00:00 - 03/01/2024 11:15:00,Spain (ES),31416
03/01/2024 11:15:00 - 03/01/2024 11:30:00,Spain (ES),31788
03/01/2024 11:30:00 - 03/01/2024 11:45:00,Spain (ES),31900
03/01/2024 11:45:00 - 03/01/2024 12:00:00,Spain (ES),31592
03/01/2024 12:00:00 - 03/01/2024 12:15:00,Spain (ES),31476
03/01/2024 12:15:00 - 03/01/2024 12:30:00,Spain (ES),31660
03/01/2024 12:30:00 - 03/01/2024 12:45:00,Spain (ES),31816
03/01/2024 12:45:00 - 03/01/2024 13:00:00,Spain (ES),31936
03/01/2024 13:00:00 - 03/01/2024 13:15:00,Spain (ES),32184
03/01/2024 13:15:00 - 03/01/2024 13:30:00,Spain (ES),32628
03/01/2024 13:30:00 - 03/01/2024 13:45:00,Spain (ES),32552
03/01/2024 13:45:00 - 03/01/2024 14:00:00,Spain (ES),32804
03/01/2024 14:00:00 - 03/01/2024 14:15:00,Spain (ES),32616
03/01/2024 14:15:00 - 03/01/2024 14:30:00,Spain (ES),33012
03/01/2024 14:30:00 - 03/01/2024 14:45:00,Spain (ES),32800
03/01/2024 14:45:00 - 03/01/2024 15:00:00,Spain (ES),32660
03/01/2024 15:00:00 - 03/01/2024 15:15:00,Spain (ES),32440
03/01/2024 15:15:00 - 03/01/2024 15:30:00,Spain (ES),32172
03/01/2024 15:30:00 - 03/01/2024 15:45:00,Spain (ES),31864
03/01/2024 15:45:00 - 03/01/2024 16:00:00,Spain (ES),31852
03/01/2024 16:00:00 - 03/01/2024 16:15:00,Spain (ES),31768
03/01/2024 16:15:00 - 03/01/2024 16:30:00,Spain (ES),30392
03/01/2024 16:30:00 - 03/01/2024 16:45:00,Spain (ES),30136
03/01/2024 16:45:00 - 03/01/2024 17:00:00,Spain (ES),30284
03/01/2024 17:00:00 - 03/01/2024 17:15:00,Spain (ES),30176
03/01/2024 17:15:00 - 03/01/2024 17:30:00,Spain (ES),29836
03/01/2024 17:30:00 - 03/01/2024 17:45:00,Spain (ES),30020
03/01/2024 17:45:00 - 03/01/2024 18:00:00,Spain (ES),30052
03/01/2024 18:00:00 - 03/01/2024 18:15:00,Spain (ES),30496
03/01/2024 18:15:00 - 03/01/2024 18:30:00,Spain (ES),30292
03/01/2024 18:30:00 - 03/01/2024 18:45:00,Spain (ES),30532
03/01/2024 18:45:00 - 03/01/2024 19:00:00,Spain (ES),31020
03/01/2024 19:00:00 - 03/01/2024 19:15:00,Spain (ES),31252
03/01/2024 19:15:00 - 03/01/2024 19:30:00,Spain (ES),31048
03/01/2024 19:30:00 - 03/01/2024 19:45:00,Spain (ES),30900
03/01/2024 19:45:00 - 03/01/2024 20:00:00,Spain (ES),30856
03/01/2024 20:00:00 - 03/01/2024 20:15:00,Spain (ES),30964
03/01/2024 20:15:00 - 03/01/2024 20:30:00,Spain (ES),31284
03/01/2024 20:30:00 - 03/01/2024 20:45:00,Spain (ES),31524
03/01/2024 20:45:00 - 03/01/2024 21:00:00,Spain (ES),31712
03/01/2024 21:00:00 - 03/01/2024 21:15:00,Spain (ES),31740
03/01/2024 21:15:00 - 03/01/2024 21:30:00,Spain (ES),31752
03/01/2024 21:30:00 - 03/01/2024 21:45:00,Spain (ES),31644
03/01/2024 21:45:00 - 03/01/2024 22:00:00,Spain (ES),31144
03/01/2024 22:00:00 - 03/01/2024 22:15:00,Spain (ES),30816
03/01/2024 22:15:00 - 03/01/2024 22:30:00,Spain (ES),30496
03/01/2024 22:30:00 - 03/01/2024 22:45:00,Spain (ES),29776
03/01/2024 22:45:00 - 03/01/2024 23:00:00,Spain (ES),29072
03/01/2024 23:00:00 - 03/01/2024 23:15:00,Spain (ES),28680
03/01/2024 23:15:00 - 03/01/2024 23:30:00,Spain (ES),28472
03/01/2024 23:30:00 - 03/01/2024 23:45:00,Spain (ES),27628
03/01/2024 23:45:00 - 04/01/2024 00:00:00,Spain (ES),26872
03/02/2024 00:00:00 - 03/02/2024 00:15:00,Spain (ES),24312
03/02/2024 00:15:00 - 03/02/2024 00:30:00,Spain (ES),22884
03/02/2024 00:30:00 - 03/02/2024 00:45:00,Spain (ES),22252
03/02/2024 00:45:00 - 03/02/2024 01:00:00,Spain (ES),22096
03/02/2024 01:00:00 - 03/02/2024 01:15:00,Spain (ES),21956
03/02/2024 01:15:00 - 03/02/2024 01:30:00,Spain (ES),21708
03/02/2024 01:30:00 - 03/02/2024 01:45:00,Spain (ES),21804
03/02/2024 01:45:00 - 03/02/2024 02:00:00,Spain (ES),21444
03/02/2024 02:00:00 - 03/02/2024 02:15:00,Spain (ES),21108
03/02/2024 02:15:00 - 03/02/2024 02:30:00,Spain (ES),21556
03/02/2024 02:30:00 - 03/02/2024 02:45:00,Spain (ES),21292
03/02/2024 02:45:00 - 03/02/2024 03:00:00,Spain (ES),21096
03/02/2024 03:00:00 - 03/02/2024 03:15:00,Spain (ES),20984
03/02/2024 03:15:00 - 03/02/2024 03:30:00,Spain (ES),20836
03/02/2024 03:30:00 - 03/02/2024 03:45:00,Spain (ES),20724
03/02/2024 03:45:00 - 03/02/2024 04:00:00,Spain (ES),20540
03/02/2024 04:00:00 - 03/02/2024 04:15:00,Spain (ES),20092
03/02/2024 04:15:00 - 03/02/2024 04:30:00,Spain (ES),20232
03/02/2024 04:30:00 - 03/02/2024 04:45:00,Spain (ES),20216
03/02/2024 04:45:00 - 03/02/2024 05:00:00,Spain (ES),20264
03/02/2024 05:00:00 - 03/02/2024 05:15:00,Spain (ES),20164
03/02/2024 05:15:00 - 03/02/2024 05:30:00,Spain (ES),19748
03/02/2024 05:30:00 - 03/02/2024 05:45:00,Spain (ES),19784
03/02/2024 05:45:00 - 03/02/2024 06:00:00,Spain (ES),19720
03/02/2024 06:00:00 - 03/02/2024 06:15:00,Spain (ES),19540
03/02/2024 06:15:00 - 03/02/2024 06:30:00,Spain (ES),19304
03/02/2024 06:30:00 - 03/02/2024 06:45:00,Spain (ES),19544
03/02/2024 06:45:00 - 03/02/2024 07:00:00,Spain (ES),20036
03/02/2024 07:00:00 - 03/02/2024 07:15:00,Spain (ES),20096
03/02/2024 07:15:00 - 03/02/2024 07:30:00,Spain (ES),19892
03/02/2024 07:30:00 - 03/02/2024 07:45:00,Spain (ES),20016
03/02/2024 07:45:00 - 03/02/2024 08:00:00,Spain (ES),20308
03/02/2024 08:00:00 - 03/02/2024 08:15:00,Spain (ES),20288
03/02/2024 08:15:00 - 03/02/2024 08:30:00,Spain (ES),19924
03/02/2024 08:30:00 - 03/02/2024 08:45:00,Spain (ES),19616
03/02/2024 08:45:00 - 03/02/2024 09:00:00,Spain (ES),19896
03/02/2024 09:00:00 - 03/02/2024 09:15:00,Spain (ES),20564
03/02/2024 09:15:00 - 03/02/2024 09:30:00,Spain (ES),22748
03/02/2024 09:30:00 - 03/02/2024 09:45:00,Spain (ES),23632
03/02/2024 09:45:00 - 03/02/2024 10:00:00,Spain (ES),23980
03/02/2024 10:00:00 - 03/02/2024 10:15:00,Spain (ES),24936
03/02/2024 10:15:00 - 03/02/2024 10:30:00,Spain (ES),27788
03/02/2024 10:30:00 - 03/02/2024 10:45:00,Spain (ES),29400
03/02/2024 10:45:00 - 03/02/2024 11:00:00,Spain (ES),29652
03/02/2024 11:00:00 - 03/02/2024 11:15:00,Spain (ES),29464
03/02/2024 11:15:00 - 03/02/2024 11:30:00,Spain (ES),30112
03/02/2024 11:30:00 - 03/02/2024 11:45:00,Spain (ES),30284
03/02/2024 11:45:00 - 03/02/2024 12:00:00,Spain (ES),30444
03/02/2024 12:00:00 - 03/02/2024 12:15:00,Spain (ES),30652
03/02/2024 12:15:00 - 03/02/2024 12:30:00,Spain (ES),31144
03/02/2024 12:30:00 - 03/02/2024 12:45:00,Spain (ES),31128
03/02/2024 12:45:00 - 03/02/2024 13:00:00,Spain (ES),31092
03/02/2024 13:00:00 - 03/02/2024 13:15:00,Spain (ES),30888
03/02/2024 13:15:00 - 03/02/2024 13:30:00,Spain (ES),30324
03/02/2024 13:30:00 - 03/02/2024 13:45:00,Spain (ES),29988
03/02/2024 13:45:00 - 03/02/2024 14:00:00,Spain (ES),30112
03/02/2024 14:00:00 - 03/02/2024 14:15:00,Spain (ES),30052
03/02/2024 14:15:00 - 03/02/2024 14:30:00,Spain (ES),30628
03/02/2024 14:30:00 - 03/02/2024 14:45:00,Spain (ES),30828
03/02/2024 14:45:00 - 03/02/2024 15:00:00,Spain (ES),30668
03/02/2024 15:00:00 - 03/02/2024 15:15:00,Spain (ES),30628
03/02/2024 15:15:00 - 03/02/2024 15:30:00,Spain (ES),31852
03/02/2024 15:30:00 - 03/02/2024 15:45:00,Spain (ES),32088
03/02/2024 15:45:00 - 03/02/2024 16:00:00,Spain (ES),31800
03/02/2024 16:00:00 - 03/02/2024 16:15:00,Spain (ES),31708
03/02/2024 16:15:00 - 03/02/2024 16:30:00,Spain (ES),31508
03/02/2024 16:30:00 - 03/02/2024 16:45:00,Spain (ES),30700
03/02/2024 16:45:00 - 03/02/2024 17:00:00,Spain (ES),30256
03/02/2024 17:00:00 - 03/02/2024 17:15:00,Spain (ES),29872
03/02/2024 17:15:00 - 03/02/2024 17:30:00,Spain (ES),27380
03/02/2024 17:30:00 - 03/02/2024 17:45:00,Spain (ES),26480
03/02/2024 17:45:00 - 03/02/2024 18:00:00,Spain (ES),26300
03/02/2024 18:00:00 - 03/02/2024 18:15:00,Spain (ES),26020
03/02/2024 18:15:00 - 03/02/2024 18:30:00,Spain (ES),24192
03/02/2024 18:30:00 - 03/02/2024 18:45:00,Spain (ES),23744
03/02/2024 18:45:00 - 03/02/2024 19:00:00,Spain (ES),24656
03/02/2024 19:00:00 - 03/02/2024 19:15:00,Spain (ES),25428
03/02/2024 19:15:00 - 03/02/2024 19:30:00,Spain (ES),25624
03/02/2024 19:30:00 - 03/02/2024 19:45:00,Spain (ES),25736
03/02/2024 19:45:00 - 03/02/2024 20:00:00,Spain (ES),26108
03/02/2024 20:00:00 - 03/02/2024 20:15:00,Spain (ES),26272
03/02/2024 20:15:00 - 03/02/2024 20:30:00,Spain (ES),25932
03/02/2024 20:30:00 - 03/02/2024 20:45:00,Spain (ES),25924
03/02/2024 20:45:00 - 03/02/2024 21:00:00,Spain (ES),26032
03/02/2024 21:00:00 - 03/02/2024 21:15:00,Spain (ES),26164
03/02/2024 21:15:00 - 03/02/2024 21:30:00,Spain (ES),26108
03/02/2024 21:30:00 - 03/02/2024 21:45:00,Spain (ES),25908
03/02/2024 21:45:00 - 03/02/2024 22:00:00,Spain (ES),25600
03/02/2024 22:00:00 - 03/02/2024 22:15:00,Spain (ES),25052
03/02/2024 22:15:00 - 03/02/2024 22:30:00,Spain (ES),24556
03/02/2024 22:30:00 - 03/02/2024 22:45:00,Spain (ES),24300
03/02/2024 22:45:00 - 03/02/2024 23:00:00,Spain (ES),23672
03/02/2024 23:00:00 - 03/02/2024 23:15:00,Spain (ES),23452
03/02/2024 23:15:00 - 03/02/2024 23:30:00,Spain (ES),23156
03/02/2024 23:30:00 - 03/02/2024 23:45:00,Spain (ES),22716
03/02/2024 23:45:00 - 04/02/2024 00:00:00,Spain (ES),22408
03/03/2024 00:00:00 - 03/03/2024 00:15:00,Spain (ES),27268
03/03/2024 00:15:00 - 03/03/2024 00:30:00,Spain (ES),27132
03/03/2024 00:30:00 - 03/03/2024 00:45:00,Spain (ES),26776
03/03/2024 00:45:00 - 03/03/2024 01:00:00,Spain (ES),26164
03/03/2024 01:00:00 - 03/03/2024 01:15:00,Spain (ES),25616
03/03/2024 01:15:00 - 03/03/2024 01:30:00,Spain (ES),25808
03/03/2024 01:30:00 - 03/03/2024 01:45:00,Spain (ES),25888
03/03/2024 01:45:00 - 03/03/2024 02:00:00,Spain (ES),25836
03/03/2024 02:00:00 - 03/03/2024 02:15:00,Spain (ES),25616
03/03/2024 02:15:00 - 03/03/2024 02:30:00,Spain (ES),25508
03/03/2024 02:30:00 - 03/03/2024 02:45:00,Spain (ES),25508
03/03/2024 02:45:00 - 03/03/2024 03:00:00,Spain (ES),25376
03/03/2024 03:00:00 - 03/03/2024 03:15:00,Spain (ES),25128
03/03/2024 03:15:00 - 03/03/2024 03:30:00,Spain (ES),24936
03/03/2024 03:30:00 - 03/03/2024 03:45:00,Spain (ES),24936
03/03/2024 03:45:00 - 03/03/2024 04:00:00,Spain (ES),24740
03/03/2024 04:00:00 - 03/03/2024 04:15:00,Spain (ES),24540
03/03/2024 04:15:00 - 03/03/2024 04:30:00,Spain (ES),24500
03/03/2024 04:30:00 - 03/03/2024 04:45:00,Spain (ES),24532
03/03/2024 04:45:00 - 03/03/2024 05:00:00,Spain (ES),24500
03/03/2024 05:00:00 - 03/03/2024 05:15:00,Spain (ES),24724
03/03/2024 05:15:00 - 03/03/2024 05:30:00,Spain (ES),25016
03/03/2024 05:30:00 - 03/03/2024 05:45:00,Spain (ES),24920
03/03/2024 05:45:00 - 03/03/2024 06:00:00,Spain (ES),24996
03/03/2024 06:00:00 - 03/03/2024 06:15:00,Spain (ES),25104
03/03/2024 06:15:00 - 03/03/2024 06:30:00,Spain (ES),24840
03/03/2024 06:30:00 - 03/03/2024 06:45:00,Spain (ES),24868
03/03/2024 06:45:00 - 03/03/2024 07:00:00,Spain (ES),24928
03/03/2024 07:00:00 - 03/03/2024 07:15:00,Spain (ES),25240
03/03/2024 07:15:00 - 03/03/2024 07:30:00,Spain (ES),25300
03/03/2024 07:30:00 - 03/03/2024 07:45:00,Spain (ES),25292
03/03/2024 07:45:00 - 03/03/2024 08:00:00,Spain (ES),25372
03/03/2024 08:00:00 - 03/03/2024 08:15:00,Spain (ES),25520
03/03/2024 08:15:00 - 03/03/2024 08:30:00,Spain (ES),26104
03/03/2024 08:30:00 - 03/03/2024 08:45:00,Spain (ES),26700
03/03/2024 08:45:00 - 03/03/2024 09:00:00,Spain (ES),27188
03/03/2024 09:00:00 - 03/03/2024 09:15:00,Spain (ES),27800
03/03/2024 09:15:00 - 03/03/2024 09:30:00,Spain (ES),29528
03/03/2024 09:30:00 - 03/03/2024 09:45:00,Spain (ES),30276
03/03/2024 09:45:00 - 03/03/2024 10:00:00,Spain (ES),30868
03/03/2024 10:00:00 - 03/03/2024 10:15:00,Spain (ES),31500
03/03/2024 10:15:00 - 03/03/2024 10:30:00,Spain (ES),32752
03/03/2024 10:30:00 - 03/03/2024 10:45:00,Spain (ES),33448
03/03/2024 10:45:00 - 03/03/2024 11:00:00,Spain (ES),33620
03/03/2024 11:00:00 - 03/03/2024 11:15:00,Spain (ES),33656
03/03/2024 11:15:00 - 03/03/2024 11:30:00,Spain (ES),33244
03/03/2024 11:30:00 - 03/03/2024 11:45:00,Spain (ES),33180
03/03/2024 11:45:00 - 03/03/2024 12:00:00,Spain (ES),32868
03/03/2024 12:00:00 - 03/03/2024 12:15:00,Spain (ES),32928
03/03/2024 12:15:00 - 03/03/2024 12:30:00,Spain (ES),32920
03/03/2024 12:30:00 - 03/03/2024 12:45:00,Spain (ES),33100
03/03/2024 12:45:00 - 03/03/2024 13:00:00,Spain (ES),32820
03/03/2024 13:00:00 - 03/03/2024 13:15:00,Spain (ES),32716
03/03/2024 13:15:00 - 03/03/2024 13:30:00,Spain (ES),33096
03/03/2024 13:30:00 - 03/03/2024 13:45:00,Spain (ES),33432
03/03/2024 13:45:00 - 03/03/2024 14:00:00,Spain (ES),33984
03/03/2024 14:00:00 - 03/03/2024 14:15:00,Spain (ES),33900
03/03/2024 14:15:00 - 03/03/2024 14:30:00,Spain (ES),34320
03/03/2024 14:30:00 - 03/03/2024 14:45:00,Spain (ES),34228
03/03/2024 14:45:00 - 03/03/2024 15:00:00,Spain (ES),33816
03/03/2024 15:00:00 - 03/03/2024 15:15:00,Spain (ES),33440
03/03/2024 15:15:00 - 03/03/2024 15:30:00,Spain (ES),32556
03/03/2024 15:30:00 - 03/03/2024 15:45:00,Spain (ES),31936
03/03/2024 15:45:00 - 03/03/2024 16:00:00,Spain (ES),31704
03/03/2024 16:00:00 - 03/03/2024 16:15:00,Spain (ES),31768
03/03/2024 16:15:00 - 03/03/2024 16:30:00,Spain (ES),31296
03/03/2024 16:30:00 - 03/03/2024 16:45:00,Spain (ES),30676
03/03/2024 16:45:00 - 03/03/2024 17:00:00,Spain (ES),31032
03/03/2024 17:00:00 - 03/03/2024 17:15:00,Spain (ES),30856
03/03/2024 17:15:00 - 03/03/2024 17:30:00,Spain (ES),30636
03/03/2024 17:30:00 - 03/03/2024 17:45:00,Spain (ES),30344
03/03/2024 17:45:00 - 03/03/2024 18:00:00,Spain (ES),30808
03/03/2024 18:00:00 - 03/03/2024 18:15:00,Spain (ES),30560
03/03/2024 18:15:00 - 03/03/2024 18:30:00,Spain (ES),27836
03/03/2024 18:30:00 - 03/03/2024 18:45:00,Spain (ES),27828
03/03/2024 18:45:00 - 03/03/2024 19:00:00,Spain (ES),27968
03/03/2024 19:00:00 - 03/03/2024 19:15:00,Spain (ES),28824
03/03/2024 19:15:00 - 03/03/2024 19:30:00,Spain (ES),28588
03/03/2024 19:30:00 - 03/03/2024 19:45:00,Spain (ES),28944
03/03/2024 19:45:00 - 03/03/2024 20:00:00,Spain (ES),29320
03/03/2024 20:00:00 - 03/03/2024 20:15:00,Spain (ES),29760
03/03/2024 20:15:00 - 03/03/2024 20:30:00,Spain (ES),30640
03/03/2024 20:30:00 - 03/03/2024 20:45:00,Spain (ES),30416
03/03/2024 20:45:00 - 03/03/2024 21:00:00,Spain (ES),30472
03/03/2024 21:00:00 - 03/03/2024 21:15:00,Spain (ES),30704
03/03/2024 21:15:00 - 03/03/2024 21:30:00,Spain (ES),30824
03/03/2024 21:30:00 - 03/03/2024 21:45:00,Spain (ES),30596
03/03/2024 21:45:00 - 03/03/2024 22:00:00,Spain (ES),29952
03/03/2024 22:00:00 - 03/03/2024 22:15:00,Spain (ES),29448
03/03/2024 22:15:00 - 03/03/2024 22:30:00,Spain (ES),28908
03/03/2024 22:30:00 - 03/03/2024 22:45:00,Spain (ES),28396
03/03/2024 22:45:00 - 03/03/2024 23:00:00,Spain (ES),28108
03/03/2024 23:00:00 - 03/03/2024 23:15:00,Spain (ES),27500
03/03/2024 23:15:00 - 03/03/2024 23:30:00,Spain (ES),27132
03/03/2024 23:30:00 - 03/03/2024 23:45:00,Spain (ES),26480
03/03/2024 23:45:00 - 04/03/2024 00:00:00,Spain (ES),25980
03/04/2024 00:00:00 - 03/04/2024 00:15:00,Spain (ES),27840
03/04/2024 00:15:00 - 03/04/2024 00:30:00,Spain (ES),27868
03/04/2024 00:30:00 - 03/04/2024 00:45:00,Spain (ES),27460
03/04/2024 00:45:00 - 03/04/2024 01:00:00,Spain (ES),27080
03/04/2024 01:00:00 - 03/04/2024 01:15:00,Spain (ES),26720
03/04/2024 01:15:00 - 03/04/2024 01:30:00,Spain (ES),26196
03/04/2024 01:30:00 - 03/04/2024 01:45:00,Spain (ES),25928
03/04/2024 01:45:00 - 03/04/2024 02:00:00,Spain (ES),25364
03/04/2024 02:00:00 - 03/04/2024 02:15:00,Spain (ES),24996
03/04/2024 02:15:00 - 03/04/2024 02:30:00,Spain (ES),25044
03/04/2024 02:30:00 - 03/04/2024 02:45:00,Spain (ES),25024
03/04/2024 02:45:00 - 03/04/2024 03:00:00,Spain (ES),24564
03/04/2024 03:00:00 - 03/04/2024 03:15:00,Spain (ES),24312
03/04/2024 03:15:00 - 03/04/2024 03:30:00,Spain (ES),23964
03/04/2024 03:30:00 - 03/04/2024 03:45:00,Spain (ES),24080
03/04/2024 03:45:00 - 03/04/2024 04:00:00,Spain (ES),24016
03/04/2024 04:00:00 - 03/04/2024 04:15:00,Spain (ES),23960
03/04/2024 04:15:00 - 03/04/2024 04:30:00,Spain (ES),24280
03/04/2024 04:30:00 - 03/04/2024 04:45:00,Spain (ES),24360
03/04/2024 04:45:00 - 03/04/2024 05:00:00,Spain (ES),24472
03/04/2024 05:00:00 - 03/04/2024 05:15:00,Spain (ES),24444
03/04/2024 05:15:00 - 03/04/2024 05:30:00,Spain (ES),24276
03/04/2024 05:30:00 - 03/04/2024 05:45:00,Spain (ES),24632
03/04/2024 05:45:00 - 03/04/2024 06:00:00,Spain (ES),25068
03/04/2024 06:00:00 - 03/04/2024 06:15:00,Spain (ES),25368
03/04/2024 06:15:00 - 03/04/2024 06:30:00,Spain (ES),25516
03/04/2024 06:30:00 - 03/04/2024 06:45:00,Spain (ES),26368
03/04/2024 06:45:00 - 03/04/2024 07:00:00,Spain (ES),27124
03/04/2024 07:00:00 - 03/04/2024 07:15:00,Spain (ES),27780
03/04/2024 07:15:00 - 03/04/2024 07:30:00,Spain (ES),28068
03/04/2024 07:30:00 - 03/04/2024 07:45:00,Spain (ES),28200
03/04/2024 07:45:00 - 03/04/2024 08:00:00,Spain (ES),28664
03/04/2024 08:00:00 - 03/04/2024 08:15:00,Spain (ES),29264
03/04/2024 08:15:00 - 03/04/2024 08:30:00,Spain (ES),29596
03/04/2024 08:30:00 - 03/04/2024 08:45:00,Spain (ES),30116
03/04/2024 08:45:00 - 03/04/2024 09:00:00,Spain (ES),30420
03/04/2024 09:00:00 - 03/04/2024 09:15:00,Spain (ES),30468
03/04/2024 09:15:00 - 03/04/2024 09:30:00,Spain (ES),31260
03/04/2024 09:30:00 - 03/04/2024 09:45:00,Spain (ES),31692
03/04/2024 09:45:00 - 03/04/2024 10:00:00,Spain (ES),31492
03/04/2024 10:00:00 - 03/04/2024 10:15:00,Spain (ES),31320
03/04/2024 10:15:00 - 03/04/2024 10:30:00,Spain (ES),31592
