"MTU","Out Area","In Area","Physical Flow (MW)"
"01/02/2024 15:00:00 - 01/02/2024 16:00:00","Spain (ES)","Portugal (PT)","3960.91"
"01/02/2024 15:00:00 - 01/02/2024 16:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/02/2024 16:00:00 - 01/02/2024 17:00:00","Spain (ES)","France (FR)","2900.51"
"01/02/2024 16:00:00 - 01/02/2024 17:00:00","France (FR)","Spain (ES)","0.00"
"01/02/2024 16:00:00 - 01/02/2024 17:00:00","Spain (ES)","Portugal (PT)","3782.23"
"01/02/2024 16:00:00 - 01/02/2024 17:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/02/2024 17:00:00 - 01/02/2024 18:00:00","Spain (ES)","France (FR)","2723.75"
"01/02/2024 17:00:00 - 01/02/2024 18:00:00","France (FR)","Spain (ES)","0.00"
"01/02/2024 17:00:00 - 01/02/2024 18:00:00","Spain (ES)","Portugal (PT)","1885.61"
"01/02/2024 17:00:00 - 01/02/2024 18:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/02/2024 18:00:00 - 01/02/2024 19:00:00","Spain (ES)","France (FR)","1840.67"
"01/02/2024 18:00:00 - 01/02/2024 19:00:00","France (FR)","Spain (ES)","0.00"
"01/02/2024 18:00:00 - 01/02/2024 19:00:00","Spain (ES)","Portugal (PT)","0.00"
"01/02/2024 18:00:00 - 01/02/2024 19:00:00","Portugal (PT)","Spain (ES)","540.90"
"01/02/2024 19:00:00 - 01/02/2024 20:00:00","Spain (ES)","France (FR)","920.95"
"01/02/2024 19:00:00 - 01/02/2024 20:00:00","France (FR)","Spain (ES)","0.00"
"01/02/2024 19:00:00 - 01/02/2024 20:00:00","Spain (ES)","Portugal (PT)","0.00"
"01/02/2024 19:00:00 - 01/02/2024 20:00:00","Portugal (PT)","Spain (ES)","607.93"
"01/02/2024 20:00:00 - 01/02/2024 21:00:00","Spain (ES)","France (FR)","0.00"
"01/02/2024 20:00:00 - 01/02/2024 21:00:00","France (FR)","Spain (ES)","1828.30"
"01/02/2024 20:00:00 - 01/02/2024 21:00:00","Spain (ES)","Portugal (PT)","163.21"
"01/02/2024 20:00:00 - 01/02/2024 21:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/02/2024 21:00:00 - 01/02/2024 22:00:00","Spain (ES)","France (FR)","0.00"
"01/02/2024 21:00:00 - 01/02/2024 22:00:00","France (FR)","Spain (ES)","1974.76"
"01/02/2024 21:00:00 - 01/02/2024 22:00:00","Spain (ES)","Portugal (PT)","339.11"
"01/02/2024 21:00:00 - 01/02/2024 22:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/02/2024 22:00:00 - 01/02/2024 23:00:00","Spain (ES)","France (FR)","51.74"
"01/02/2024 22:00:00 - 01/02/2024 23:00:00","France (FR)","Spain (ES)","0.00"
"01/02/2024 22:00:00 - 01/02/2024 23:00:00","Spain (ES)","Portugal (PT)","0.00"
"01/02/2024 22:00:00 - 01/02/2024 23:00:00","Portugal (PT)","Spain (ES)","91.66"
"01/02/2024 23:00:00 - 02/02/2024 00:00:00","Spain (ES)","France (FR)","1419.49"
"01/02/2024 23:00:00 - 02/02/2024 00:00:00","France (FR)","Spain (ES)","0.00"
"01/02/2024 23:00:00 - 02/02/2024 00:00:00","Spain (ES)","Portugal (PT)","90.62"
"01/02/2024 23:00:00 - 02/02/2024 00:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/02/2024 00:00:00 - 02/02/2024 01:00:00","Spain (ES)","France (FR)","2661.97"
"02/02/2024 00:00:00 - 02/02/2024 01:00:00","France (FR)","Spain (ES)","0.00"
"02/02/2024 00:00:00 - 02/02/2024 01:00:00","Spain (ES)","Portugal (PT)","582.02"
"02/02/2024 00:00:00 - 02/02/2024 01:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/02/2024 01:00:00 - 02/02/2024 02:00:00","Spain (ES)","France (FR)","2576.27"
"02/02/2024 01:00:00 - 02/02/2024 02:00:00","France (FR)","Spain (ES)","0.00"
"02/02/2024 01:00:00 - 02/02/2024 02:00:00","Spain (ES)","Portugal (PT)","945.71"
"02/02/2024 01:00:00 - 02/02/2024 02:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/02/2024 02:00:00 - 02/02/2024 03:00:00","Spain (ES)","France (FR)","1870.13"
"02/02/2024 02:00:00 - 02/02/2024 03:00:00","France (FR)","Spain (ES)","0.00"
"02/02/2024 02:00:00 - 02/02/2024 03:00:00","Spain (ES)","Portugal (PT)","1325.31"
"02/02/2024 02:00:00 - 02/02/2024 03:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/02/2024 03:00:00 - 02/02/2024 04:00:00","Spain (ES)","France (FR)","1278.01"
"02/02/2024 03:00:00 - 02/02/2024 04:00:00","France (FR)","Spain (ES)","0.00"
"02/02/2024 03:00:00 - 02/02/2024 04:00:00","Spain (ES)","Portugal (PT)","1509.89"
"02/02/2024 03:00:00 - 02/02/2024 04:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/02/2024 04:00:00 - 02/02/2024 05:00:00","Spain (ES)","France (FR)","524.09"
"02/02/2024 04:00:00 - 02/02/2024 05:00:00","France (FR)","Spain (ES)","0.00"
"02/02/2024 04:00:00 - 02/02/2024 05:00:00","Spain (ES)","Portugal (PT)","2386.35"
"02/02/2024 04:00:00 - 02/02/2024 05:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/02/2024 05:00:00 - 02/02/2024 06:00:00","Spain (ES)","France (FR)","1327.13"
"02/02/2024 05:00:00 - 02/02/2024 06:00:00","France (FR)","Spain (ES)","0.00"
"02/02/2024 05:00:00 - 02/02/2024 06:00:00","Spain (ES)","Portugal (PT)","1571.65"
"02/02/2024 05:00:00 - 02/02/2024 06:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/02/2024 06:00:00 - 02/02/2024 07:00:00","Spain (ES)","France (FR)","2447.62"
"02/02/2024 06:00:00 - 02/02/2024 07:00:00","France (FR)","Spain (ES)","0.00"
"02/02/2024 06:00:00 - 02/02/2024 07:00:00","Spain (ES)","Portugal (PT)","61.10"
"02/02/2024 06:00:00 - 02/02/2024 07:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/02/2024 07:00:00 - 02/02/2024 08:00:00","Spain (ES)","France (FR)","2436.80"
"02/02/2024 07:00:00 - 02/02/2024 08:00:00","France (FR)","Spain (ES)","0.00"
"02/02/2024 07:00:00 - 02/02/2024 08:00:00","Spain (ES)","Portugal (PT)","0.00"
"02/02/2024 07:00:00 - 02/02/2024 08:00:00","Portugal (PT)","Spain (ES)","2047.00"
"02/02/2024 08:00:00 - 02/02/2024 09:00:00","Spain (ES)","France (FR)","2139.82"
"02/02/2024 08:00:00 - 02/02/2024 09:00:00","France (FR)","Spain (ES)","0.00"
"02/02/2024 08:00:00 - 02/02/2024 09:00:00","Spain (ES)","Portugal (PT)","0.00"
"02/02/2024 08:00:00 - 02/02/2024 09:00:00","Portugal (PT)","Spain (ES)","2175.84"
"02/02/2024 09:00:00 - 02/02/2024 10:00:00","Spain (ES)","France (FR)","2401.03"
"02/02/2024 09:00:00 - 02/02/2024 10:00:00","France (FR)","Spain (ES)","0.00"
"02/02/2024 09:00:00 - 02/02/2024 10:00:00","Spain (ES)","Portugal (PT)","0.00"
"02/02/2024 09:00:00 - 02/02/2024 10:00:00","Portugal (PT)","Spain (ES)","1215.64"
"02/02/2024 10:00:00 - 02/02/2024 11:00:00","Spain (ES)","France (FR)","2508.67"
"02/02/2024 10:00:00 - 02/02/2024 11:00:00","France (FR)","Spain (ES)","0.00"
"02/02/2024 10:00:00 - 02/02/2024 11:00:00","Spain (ES)","Portugal (PT)","1172.82"
"02/02/2024 10:00:00 - 02/02/2024 11:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/02/2024 11:00:00 - 02/02/2024 12:00:00","Spain (ES)","France (FR)","2186.29"
"02/02/2024 11:00:00 - 02/02/2024 12:00:00","France (FR)","Spain (ES)","0.00"
"02/02/2024 11:00:00 - 02/02/2024 12:00:00","Spain (ES)","Portugal (PT)","2442.34"
"02/02/2024 11:00:00 - 02/02/2024 12:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/02/2024 12:00:00 - 02/02/2024 13:00:00","Spain (ES)","France (FR)","2109.29"
"02/02/2024 12:00:00 - 02/02/2024 13:00:00","France (FR)","Spain (ES)","0.00"
"02/02/2024 12:00:00 - 02/02/2024 13:00:00","Spain (ES)","Portugal (PT)","2720.60"
"02/02/2024 12:00:00 - 02/02/2024 13:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/02/2024 13:00:00 - 02/02/2024 14:00:00","Spain (ES)","France (FR)","2316.52"
"02/02/2024 13:00:00 - 02/02/2024 14:00:00","France (FR)","Spain (ES)","0.00"
"02/02/2024 13:00:00 - 02/02/2024 14:00:00","Spain (ES)","Portugal (PT)","3212.16"
"02/02/2024 13:00:00 - 02/02/2024 14:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/02/2024 14:00:00 - 02/02/2024 15:00:00","Spain (ES)","France (FR)","2542.00"
"02/02/2024 14:00:00 - 02/02/2024 15:00:00","France (FR)","Spain (ES)","0.00"
"02/02/2024 14:00:00 - 02/02/2024 15:00:00","Spain (ES)","Portugal (PT)","3234.27"
"02/02/2024 14:00:00 - 02/02/2024 15:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/02/2024 15:00:00 - 02/02/2024 16:00:00","Spain (ES)","France (FR)","2612.24"
"02/02/2024 15:00:00 - 02/02/2024 16:00:00","France (FR)","Spain (ES)","0.00"
"02/02/2024 15:00:00 - 02/02/2024 16:00:00","Spain (ES)","Portugal (PT)","3440.32"
"02/02/2024 15:00:00 - 02/02/2024 16:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/02/2024 16:00:00 - 02/02/2024 17:00:00","Spain (ES)","France (FR)","2617.43"
"02/02/2024 16:00:00 - 02/02/2024 17:00:00","France (FR)","Spain (ES)","0.00"
"02/02/2024 16:00:00 - 02/02/2024 17:00:00","Spain (ES)","Portugal (PT)","3199.79"
"02/02/2024 16:00:00 - 02/02/2024 17:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/02/2024 17:00:00 - 02/02/2024 18:00:00","Spain (ES)","France (FR)","1915.49"
"02/02/2024 17:00:00 - 02/02/2024 18:00:00","France (FR)","Spain (ES)","0.00"
"02/02/2024 17:00:00 - 02/02/2024 18:00:00","Spain (ES)","Portugal (PT)","1201.93"
"02/02/2024 17:00:00 - 02/02/2024 18:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/02/2024 18:00:00 - 02/02/2024 19:00:00","Spain (ES)","France (FR)","525.03"
"02/02/2024 18:00:00 - 02/02/2024 19:00:00","France (FR)","Spain (ES)","0.00"
"02/02/2024 18:00:00 - 02/02/2024 19:00:00","Spain (ES)","Portugal (PT)","49.33"
"02/02/2024 18:00:00 - 02/02/2024 19:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/02/2024 19:00:00 - 02/02/2024 20:00:00","Spain (ES)","France (FR)","0.00"
"02/02/2024 19:00:00 - 02/02/2024 20:00:00","France (FR)","Spain (ES)","922.71"
"02/02/2024 19:00:00 - 02/02/2024 20:00:00","Spain (ES)","Portugal (PT)","199.71"
"02/02/2024 19:00:00 - 02/02/2024 20:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/02/2024 20:00:00 - 02/02/2024 21:00:00","Spain (ES)","France (FR)","0.00"
"02/02/2024 20:00:00 - 02/02/2024 21:00:00","France (FR)","Spain (ES)","2230.96"
"02/02/2024 20:00:00 - 02/02/2024 21:00:00","Spain (ES)","Portugal (PT)","364.35"
"02/02/2024 20:00:00 - 02/02/2024 21:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/02/2024 21:00:00 - 02/02/2024 22:00:00","Spain (ES)","France (FR)","0.00"
"02/02/2024 21:00:00 - 02/02/2024 22:00:00","France (FR)","Spain (ES)","3253.94"
"02/02/2024 21:00:00 - 02/02/2024 22:00:00","Spain (ES)","Portugal (PT)","252.57"
"02/02/2024 21:00:00 - 02/02/2024 22:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/02/2024 22:00:00 - 02/02/2024 23:00:00","Spain (ES)","France (FR)","0.00"
"02/02/2024 22:00:00 - 02/02/2024 23:00:00","France (FR)","Spain (ES)","2756.31"
"02/02/2024 22:00:00 - 02/02/2024 23:00:00","Spain (ES)","Portugal (PT)","860.91"
"02/02/2024 22:00:00 - 02/02/2024 23:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/02/2024 23:00:00 - 03/02/2024 00:00:00","Spain (ES)","France (FR)","0.00"
"02/02/2024 23:00:00 - 03/02/2024 00:00:00","France (FR)","Spain (ES)","2776.29"
"02/02/2024 23:00:00 - 03/02/2024 00:00:00","Spain (ES)","Portugal (PT)","1337.90"
"02/02/2024 23:00:00 - 03/02/2024 00:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/02/2024 00:00:00 - 03/02/2024 01:00:00","Spain (ES)","France (FR)","0.00"
"03/02/2024 00:00:00 - 03/02/2024 01:00:00","France (FR)","Spain (ES)","3088.76"
"03/02/2024 00:00:00 - 03/02/2024 01:00:00","Spain (ES)","Portugal (PT)","380.63"
"03/02/2024 00:00:00 - 03/02/2024 01:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/02/2024 01:00:00 - 03/02/2024 02:00:00","Spain (ES)","France (FR)","0.00"
"03/02/2024 01:00:00 - 03/02/2024 02:00:00","France (FR)","Spain (ES)","3032.80"
"03/02/2024 01:00:00 - 03/02/2024 02:00:00","Spain (ES)","Portugal (PT)","0.00"
"03/02/2024 01:00:00 - 03/02/2024 02:00:00","Portugal (PT)","Spain (ES)","316.70"
"03/02/2024 02:00:00 - 03/02/2024 03:00:00","Spain (ES)","France (FR)","0.00"
"03/02/2024 02:00:00 - 03/02/2024 03:00:00","France (FR)","Spain (ES)","2833.17"
"03/02/2024 02:00:00 - 03/02/2024 03:00:00","Spain (ES)","Portugal (PT)","0.00"
"03/02/2024 02:00:00 - 03/02/2024 03:00:00","Portugal (PT)","Spain (ES)","143.70"
"03/02/2024 03:00:00 - 03/02/2024 04:00:00","Spain (ES)","France (FR)","0.00"
"03/02/2024 03:00:00 - 03/02/2024 04:00:00","France (FR)","Spain (ES)","2959.55"
"03/02/2024 03:00:00 - 03/02/2024 04:00:00","Spain (ES)","Portugal (PT)","290.70"
"03/02/2024 03:00:00 - 03/02/2024 04:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/02/2024 04:00:00 - 03/02/2024 05:00:00","Spain (ES)","France (FR)","0.00"
"03/02/2024 04:00:00 - 03/02/2024 05:00:00","France (FR)","Spain (ES)","2940.91"
"03/02/2024 04:00:00 - 03/02/2024 05:00:00","Spain (ES)","Portugal (PT)","368.83"
"03/02/2024 04:00:00 - 03/02/2024 05:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/02/2024 05:00:00 - 03/02/2024 06:00:00","Spain (ES)","France (FR)","0.00"
"03/02/2024 05:00:00 - 03/02/2024 06:00:00","France (FR)","Spain (ES)","2737.14"
"03/02/2024 05:00:00 - 03/02/2024 06:00:00","Spain (ES)","Portugal (PT)","138.23"
"03/02/2024 05:00:00 - 03/02/2024 06:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/02/2024 06:00:00 - 03/02/2024 07:00:00","Spain (ES)","France (FR)","0.00"
"03/02/2024 06:00:00 - 03/02/2024 07:00:00","France (FR)","Spain (ES)","2805.31"
"03/02/2024 06:00:00 - 03/02/2024 07:00:00","Spain (ES)","Portugal (PT)","0.00"
"03/02/2024 06:00:00 - 03/02/2024 07:00:00","Portugal (PT)","Spain (ES)","359.26"
"03/02/2024 07:00:00 - 03/02/2024 08:00:00","Spain (ES)","France (FR)","0.00"
"03/02/2024 07:00:00 - 03/02/2024 08:00:00","France (FR)","Spain (ES)","2866.62"
"03/02/2024 07:00:00 - 03/02/2024 08:00:00","Spain (ES)","Portugal (PT)","0.00"
"03/02/2024 07:00:00 - 03/02/2024 08:00:00","Portugal (PT)","Spain (ES)","967.95"
"03/02/2024 08:00:00 - 03/02/2024 09:00:00","Spain (ES)","France (FR)","0.00"
"03/02/2024 08:00:00 - 03/02/2024 09:00:00","France (FR)","Spain (ES)","3020.12"
"03/02/2024 08:00:00 - 03/02/2024 09:00:00","Spain (ES)","Portugal (PT)","0.00"
"03/02/2024 08:00:00 - 03/02/2024 09:00:00","Portugal (PT)","Spain (ES)","1862.06"
"03/02/2024 09:00:00 - 03/02/2024 10:00:00","Spain (ES)","France (FR)","0.00"
"03/02/2024 09:00:00 - 03/02/2024 10:00:00","France (FR)","Spain (ES)","2553.86"
"03/02/2024 09:00:00 - 03/02/2024 10:00:00","Spain (ES)","Portugal (PT)","0.00"
"03/02/2024 09:00:00 - 03/02/2024 10:00:00","Portugal (PT)","Spain (ES)","1028.70"
"03/02/2024 10:00:00 - 03/02/2024 11:00:00","Spain (ES)","France (FR)","0.00"
"03/02/2024 10:00:00 - 03/02/2024 11:00:00","France (FR)","Spain (ES)","602.04"
"03/02/2024 10:00:00 - 03/02/2024 11:00:00","Spain (ES)","Portugal (PT)","0.00"
"03/02/2024 10:00:00 - 03/02/2024 11:00:00","Portugal (PT)","Spain (ES)","279.22"
"03/02/2024 11:00:00 - 03/02/2024 12:00:00","Spain (ES)","France (FR)","426.82"
"03/02/2024 11:00:00 - 03/02/2024 12:00:00","France (FR)","Spain (ES)","0.00"
"03/02/2024 11:00:00 - 03/02/2024 12:00:00","Spain (ES)","Portugal (PT)","407.10"
"03/02/2024 11:00:00 - 03/02/2024 12:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/02/2024 12:00:00 - 03/02/2024 13:00:00","Spain (ES)","France (FR)","0.00"
"03/02/2024 12:00:00 - 03/02/2024 13:00:00","France (FR)","Spain (ES)","345.04"
"03/02/2024 12:00:00 - 03/02/2024 13:00:00","Spain (ES)","Portugal (PT)","1706.00"
"03/02/2024 12:00:00 - 03/02/2024 13:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/02/2024 13:00:00 - 03/02/2024 14:00:00","Spain (ES)","France (FR)","0.00"
"03/02/2024 13:00:00 - 03/02/2024 14:00:00","France (FR)","Spain (ES)","1830.00"
"03/02/2024 13:00:00 - 03/02/2024 14:00:00","Spain (ES)","Portugal (PT)","2825.67"
"03/02/2024 13:00:00 - 03/02/2024 14:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/02/2024 14:00:00 - 03/02/2024 15:00:00","Spain (ES)","France (FR)","0.00"
"03/02/2024 14:00:00 - 03/02/2024 15:00:00","France (FR)","Spain (ES)","1341.93"
"03/02/2024 14:00:00 - 03/02/2024 15:00:00","Spain (ES)","Portugal (PT)","2735.13"
"03/02/2024 14:00:00 - 03/02/2024 15:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/02/2024 15:00:00 - 03/02/2024 16:00:00","Spain (ES)","France (FR)","1324.04"
"03/02/2024 15:00:00 - 03/02/2024 16:00:00","France (FR)","Spain (ES)","0.00"
"03/02/2024 15:00:00 - 03/02/2024 16:00:00","Spain (ES)","Portugal (PT)","2148.81"
"03/02/2024 15:00:00 - 03/02/2024 16:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/02/2024 16:00:00 - 03/02/2024 17:00:00","Spain (ES)","France (FR)","1984.34"
"03/02/2024 16:00:00 - 03/02/2024 17:00:00","France (FR)","Spain (ES)","0.00"
"03/02/2024 16:00:00 - 03/02/2024 17:00:00","Spain (ES)","Portugal (PT)","2037.76"
"03/02/2024 16:00:00 - 03/02/2024 17:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/02/2024 17:00:00 - 03/02/2024 18:00:00","Spain (ES)","France (FR)","790.30"
"03/02/2024 17:00:00 - 03/02/2024 18:00:00","France (FR)","Spain (ES)","0.00"
"03/02/2024 17:00:00 - 03/02/2024 18:00:00","Spain (ES)","Portugal (PT)","709.29"
"03/02/2024 17:00:00 - 03/02/2024 18:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/02/2024 18:00:00 - 03/02/2024 19:00:00","Spain (ES)","France (FR)","0.00"
"03/02/2024 18:00:00 - 03/02/2024 19:00:00","France (FR)","Spain (ES)","626.04"
"03/02/2024 18:00:00 - 03/02/2024 19:00:00","Spain (ES)","Portugal (PT)","0.00"
"03/02/2024 18:00:00 - 03/02/2024 19:00:00","Portugal (PT)","Spain (ES)","881.71"
"03/02/2024 19:00:00 - 03/02/2024 20:00:00","Spain (ES)","France (FR)","0.00"
"03/02/2024 19:00:00 - 03/02/2024 20:00:00","France (FR)","Spain (ES)","2003.70"
"03/02/2024 19:00:00 - 03/02/2024 20:00:00","Spain (ES)","Portugal (PT)","0.00"
"03/02/2024 19:00:00 - 03/02/2024 20:00:00","Portugal (PT)","Spain (ES)","1063.05"
"03/02/2024 20:00:00 - 03/02/2024 21:00:00","Spain (ES)","France (FR)","0.00"
"03/02/2024 20:00:00 - 03/02/2024 21:00:00","France (FR)","Spain (ES)","2792.40"
"03/02/2024 20:00:00 - 03/02/2024 21:00:00","Spain (ES)","Portugal (PT)","0.00"
"03/02/2024 20:00:00 - 03/02/2024 21:00:00","Portugal (PT)","Spain (ES)","895.11"
"03/02/2024 21:00:00 - 03/02/2024 22:00:00","Spain (ES)","France (FR)","0.00"
"03/02/2024 21:00:00 - 03/02/2024 22:00:00","France (FR)","Spain (ES)","3096.55"
"03/02/2024 21:00:00 - 03/02/2024 22:00:00","Spain (ES)","Portugal (PT)","0.00"
"03/02/2024 21:00:00 - 03/02/2024 22:00:00","Portugal (PT)","Spain (ES)","1013.36"
"03/02/2024 22:00:00 - 03/02/2024 23:00:00","Spain (ES)","France (FR)","0.00"
"03/02/2024 22:00:00 - 03/02/2024 23:00:00","France (FR)","Spain (ES)","2916.69"
"03/02/2024 22:00:00 - 03/02/2024 23:00:00","Spain (ES)","Portugal (PT)","0.00"
"03/02/2024 22:00:00 - 03/02/2024 23:00:00","Portugal (PT)","Spain (ES)","1021.09"
"03/02/2024 23:00:00 - 04/02/2024 00:00:00","Spain (ES)","France (FR)","0.00"
"03/02/2024 23:00:00 - 04/02/2024 00:00:00","France (FR)","Spain (ES)","2991.70"
"03/02/2024 23:00:00 - 04/02/2024 00:00:00","Spain (ES)","Portugal (PT)","0.00"
"03/02/2024 23:00:00 - 04/02/2024 00:00:00","Portugal (PT)","Spain (ES)","87.30"
"04/02/2024 00:00:00 - 04/02/2024 01:00:00","Spain (ES)","France (FR)","0.00"
"04/02/2024 00:00:00 - 04/02/2024 01:00:00","France (FR)","Spain (ES)","3211.81"
"04/02/2024 00:00:00 - 04/02/2024 01:00:00","Spain (ES)","Portugal (PT)","106.08"
"04/02/2024 00:00:00 - 04/02/2024 01:00:00","Portugal (PT)","Spain (ES)","0.00"
"04/02/2024 01:00:00 - 04/02/2024 02:00:00","Spain (ES)","France (FR)","0.00"
"04/02/2024 01:00:00 - 04/02/2024 02:00:00","France (FR)","Spain (ES)","3220.48"
"04/02/2024 01:00:00 - 04/02/2024 02:00:00","Spain (ES)","Portugal (PT)","766.59"
"04/02/2024 01:00:00 - 04/02/2024 02:00:00","Portugal (PT)","Spain (ES)","0.00"
"04/02/2024 02:00:00 - 04/02/2024 03:00:00","Spain (ES)","France (FR)","0.00"
"04/02/2024 02:00:00 - 04/02/2024 03:00:00","France (FR)","Spain (ES)","3087.03"
"04/02/2024 02:00:00 - 04/02/2024 03:00:00","Spain (ES)","Portugal (PT)","1060.57"
"04/02/2024 02:00:00 - 04/02/2024 03:00:00","Portugal (PT)","Spain (ES)","0.00"
"04/02/2024 03:00:00 - 04/02/2024 04:00:00","Spain (ES)","France (FR)","0.00"
"04/02/2024 03:00:00 - 04/02/2024 04:00:00","France (FR)","Spain (ES)","3033.05"
"04/02/2024 03:00:00 - 04/02/2024 04:00:00","Spain (ES)","Portugal (PT)","1274.09"
"04/02/2024 03:00:00 - 04/02/2024 04:00:00","Portugal (PT)","Spain (ES)","0.00"
"04/02/2024 04:00:00 - 04/02/2024 05:00:00","Spain (ES)","France (FR)","0.00"
"04/02/2024 04:00:00 - 04/02/2024 05:00:00","France (FR)","Spain (ES)","2929.14"
"04/02/2024 04:00:00 - 04/02/2024 05:00:00","Spain (ES)","Portugal (PT)","1235.50"
"04/02/2024 04:00:00 - 04/02/2024 05:00:00","Portugal (PT)","Spain (ES)","0.00"
"04/02/2024 05:00:00 - 04/02/2024 06:00:00","Spain (ES)","France (FR)","0.00"
"04/02/2024 05:00:00 - 04/02/2024 06:00:00","France (FR)","Spain (ES)","2885.58"
"04/02/2024 05:00:00 - 04/02/2024 06:00:00","Spain (ES)","Portugal (PT)","1308.94"
"04/02/2024 05:00:00 - 04/02/2024 06:00:00","Portugal (PT)","Spain (ES)","0.00"
"04/02/2024 06:00:00 - 04/02/2024 07:00:00","Spain (ES)","France (FR)","0.00"
"04/02/2024 06:00:00 - 04/02/2024 07:00:00","France (FR)","Spain (ES)","2870.76"
"04/02/2024 06:00:00 - 04/02/2024 07:00:00","Spain (ES)","Portugal (PT)","862.12"
"04/02/2024 06:00:00 - 04/02/2024 07:00:00","Portugal (PT)","Spain (ES)","0.00"
"04/02/2024 07:00:00 - 04/02/2024 08:00:00","Spain (ES)","France (FR)","0.00"
"04/02/2024 07:00:00 - 04/02/2024 08:00:00","France (FR)","Spain (ES)","2978.16"
"04/02/2024 07:00:00 - 04/02/2024 08:00:00","Spain (ES)","Portugal (PT)","242.41"
"04/02/2024 07:00:00 - 04/02/2024 08:00:00","Portugal (PT)","Spain (ES)","0.00"
"04/02/2024 08:00:00 - 04/02/2024 09:00:00","Spain (ES)","France (FR)","0.00"
"04/02/2024 08:00:00 - 04/02/2024 09:00:00","France (FR)","Spain (ES)","3026.04"
"04/02/2024 08:00:00 - 04/02/2024 09:00:00","Spain (ES)","Portugal (PT)","0.00"
"04/02/2024 08:00:00 - 04/02/2024 09:00:00","Portugal (PT)","Spain (ES)","6.04"
"04/02/2024 09:00:00 - 04/02/2024 10:00:00","Spain (ES)","France (FR)","0.00"
"04/02/2024 09:00:00 - 04/02/2024 10:00:00","France (FR)","Spain (ES)","3073.03"
"04/02/2024 09:00:00 - 04/02/2024 10:00:00","Spain (ES)","Portugal (PT)","1886.19"
"04/02/2024 09:00:00 - 04/02/2024 10:00:00","Portugal (PT)","Spain (ES)","0.00"
"04/02/2024 10:00:00 - 04/02/2024 11:00:00","Spain (ES)","France (FR)","0.00"
"04/02/2024 10:00:00 - 04/02/2024 11:00:00","France (FR)","Spain (ES)","2786.36"
"04/02/2024 10:00:00 - 04/02/2024 11:00:00","Spain (ES)","Portugal (PT)","2778.58"
"04/02/2024 10:00:00 - 04/02/2024 11:00:00","Portugal (PT)","Spain (ES)","0.00"
"04/02/2024 11:00:00 - 04/02/2024 12:00:00","Spain (ES)","France (FR)","0.00"
"04/02/2024 11:00:00 - 04/02/2024 12:00:00","France (FR)","Spain (ES)","2859.79"
"04/02/2024 11:00:00 - 04/02/2024 12:00:00","Spain (ES)","Portugal (PT)","3747.61"
"04/02/2024 11:00:00 - 04/02/2024 12:00:00","Portugal (PT)","Spain (ES)","0.00"
"04/02/2024 12:00:00 - 04/02/2024 13:00:00","Spain (ES)","France (FR)","0.00"
"04/02/2024 12:00:00 - 04/02/2024 13:00:00","France (FR)","Spain (ES)","2803.67"
"04/02/2024 12:00:00 - 04/02/2024 13:00:00","Spain (ES)","Portugal (PT)","4381.39"
"04/02/2024 12:00:00 - 04/02/2024 13:00:00","Portugal (PT)","Spain (ES)","0.00"
"04/02/2024 13:00:00 - 04/02/2024 14:00:00","Spain (ES)","France (FR)","0.00"
"04/02/2024 13:00:00 - 04/02/2024 14:00:00","France (FR)","Spain (ES)","2643.80"
