"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","France (FR)","Spain (ES)","33.27"
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","Spain (ES)","Portugal (PT)","3384.67"
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","France (FR)","Spain (ES)","2535.29"
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","Spain (ES)","Portugal (PT)","3499.08"
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","France (FR)","Spain (ES)","2930.03"
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","Spain (ES)","Portugal (PT)","2534.58"
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","France (FR)","Spain (ES)","2775.66"
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","Spain (ES)","Portugal (PT)","1961.00"
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","France (FR)","Spain (ES)","2700.88"
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","Spain (ES)","Portugal (PT)","1408.16"
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","France (FR)","Spain (ES)","2759.71"
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","Spain (ES)","Portugal (PT)","1274.20"
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","France (FR)","Spain (ES)","2796.85"
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","Spain (ES)","Portugal (PT)","1606.59"
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","France (FR)","Spain (ES)","2739.81"
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","Spain (ES)","Portugal (PT)","2495.09"
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","France (FR)","Spain (ES)","2519.91"
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","Spain (ES)","Portugal (PT)","2578.51"
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","France (FR)","Spain (ES)","2515.71"
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","Spain (ES)","Portugal (PT)","2563.36"
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","France (FR)","Spain (ES)","2470.73"
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","Spain (ES)","Portugal (PT)","2523.52"
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","France (FR)","Spain (ES)","2488.18"
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","Spain (ES)","Portugal (PT)","2543.91"
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","France (FR)","Spain (ES)","2708.59"
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","Spain (ES)","Portugal (PT)","2350.30"
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","France (FR)","Spain (ES)","2758.96"
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","Spain (ES)","Portugal (PT)","2117.07"
