"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2023 16:00 - 01/01/2023 16:15","CTA|ES","19492.00","18871.00"
"01/01/2023 16:15 - 01/01/2023 16:30","CTA|ES","19496.00","18955.00"
"01/01/2023 16:30 - 01/01/2023 16:45","CTA|ES","19484.00","19082.00"
"01/01/2023 16:45 - 01/01/2023 17:00","CTA|ES","19528.00","19272.00"
"01/01/2023 17:00 - 01/01/2023 17:15","CTA|ES","19748.00","19343.00"
"01/01/2023 17:15 - 01/01/2023 17:30","CTA|ES","19876.00","19736.00"
"01/01/2023 17:30 - 01/01/2023 17:45","CTA|ES","20388.00","20255.00"
"01/01/2023 17:45 - 01/01/2023 18:00","CTA|ES","21064.00","20840.00"
"01/01/2023 18:00 - 01/01/2023 18:15","CTA|ES","21872.00","21640.00"
"01/01/2023 18:15 - 01/01/2023 18:30","CTA|ES","22504.00","22135.00"
"01/01/2023 18:30 - 01/01/2023 18:45","CTA|ES","22792.00","22487.00"
"01/01/2023 18:45 - 01/01/2023 19:00","CTA|ES","23008.00","22727.00"
"01/01/2023 19:00 - 01/01/2023 19:15","CTA|ES","23316.00","22913.00"
"01/01/2023 19:15 - 01/01/2023 19:30","CTA|ES","23516.00","23078.00"
"01/01/2023 19:30 - 01/01/2023 19:45","CTA|ES","23656.00","23270.00"
"01/01/2023 19:45 - 01/01/2023 20:00","CTA|ES","23888.00","23482.00"
"01/01/2023 20:00 - 01/01/2023 20:15","CTA|ES","24140.00","23745.00"
"01/01/2023 20:15 - 01/01/2023 20:30","CTA|ES","24320.00","23945.00"
"01/01/2023 20:30 - 01/01/2023 20:45","CTA|ES","24556.00","24112.00"
"01/01/2023 20:45 - 01/01/2023 21:00","CTA|ES","24648.00","24232.00"
"01/01/2023 21:00 - 01/01/2023 21:15","CTA|ES","24700.00","24448.00"
"01/01/2023 21:15 - 01/01/2023 21:30","CTA|ES","24764.00","24436.00"
"01/01/2023 21:30 - 01/01/2023 21:45","CTA|ES","24552.00","24339.00"
"01/01/2023 21:45 - 01/01/2023 22:00","CTA|ES","24336.00","24152.00"
"01/01/2023 22:00 - 01/01/2023 22:15","CTA|ES","23968.00","24066.00"
"01/01/2023 22:15 - 01/01/2023 22:30","CTA|ES","23668.00","23680.00"
"01/01/2023 22:30 - 01/01/2023 22:45","CTA|ES","23200.00","23198.00"
"01/01/2023 22:45 - 01/01/2023 23:00","CTA|ES","22776.00","22651.00"
"01/01/2023 23:00 - 01/01/2023 23:15","CTA|ES","22252.00","22053.00"
"01/01/2023 23:15 - 01/01/2023 23:30","CTA|ES","21728.00","21499.00"
"01/01/2023 23:30 - 01/01/2023 23:45","CTA|ES","21292.00","20993.00"
"01/01/2023 23:45 - 02/01/2023 00:00","CTA|ES","20716.00","20530.00"
"02/01/2023 00:00 - 02/01/2023 00:15","CTA|ES","20588.00","20426.00"
"02/01/2023 00:15 - 02/01/2023 00:30","CTA|ES","20116.00","20003.00"
"02/01/2023 00:30 - 02/01/2023 00:45","CTA|ES","19708.00","19584.00"
"02/01/2023 00:45 - 02/01/2023 01:00","CTA|ES","19316.00","19180.00"
"02/01/2023 01:00 - 02/01/2023 01:15","CTA|ES","19008.00","18739.00"
"02/01/2023 01:15 - 02/01/2023 01:30","CTA|ES","18644.00","18399.00"
"02/01/2023 01:30 - 02/01/2023 01:45","CTA|ES","18368.00","18103.00"
