"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"03/01/2022 16:00 - 03/01/2022 17:00","CTA|ES","28768.00","29622.00"
"03/01/2022 17:00 - 03/01/2022 18:00","CTA|ES","29274.00","30007.00"
"03/01/2022 18:00 - 03/01/2022 19:00","CTA|ES","31072.00","31603.00"
"03/01/2022 19:00 - 03/01/2022 20:00","CTA|ES","31843.00","32591.00"
"03/01/2022 20:00 - 03/01/2022 21:00","CTA|ES","32306.00","32878.00"
"03/01/2022 21:00 - 03/01/2022 22:00","CTA|ES","31729.00","31984.00"
"03/01/2022 22:00 - 03/01/2022 23:00","CTA|ES","29097.00","29385.00"
"03/01/2022 23:00 - 04/01/2022 00:00","CTA|ES","26455.00","26567.00"
"04/01/2022 00:00 - 04/01/2022 01:00","CTA|ES","24775.00","24713.00"
"04/01/2022 01:00 - 04/01/2022 02:00","CTA|ES","22985.00","23005.00"
"04/01/2022 02:00 - 04/01/2022 03:00","CTA|ES","21880.00","21843.00"
"04/01/2022 03:00 - 04/01/2022 04:00","CTA|ES","21345.00","21309.00"
"04/01/2022 04:00 - 04/01/2022 05:00","CTA|ES","21264.00","21213.00"
"04/01/2022 05:00 - 04/01/2022 06:00","CTA|ES","21935.00","21866.00"
"04/01/2022 06:00 - 04/01/2022 07:00","CTA|ES","24068.00","23926.00"
"04/01/2022 07:00 - 04/01/2022 08:00","CTA|ES","26973.00","26836.00"
"04/01/2022 08:00 - 04/01/2022 09:00","CTA|ES","28993.00","28898.00"
"04/01/2022 09:00 - 04/01/2022 10:00","CTA|ES","30459.00","30404.00"
"04/01/2022 10:00 - 04/01/2022 11:00","CTA|ES","31305.00","31247.00"
"04/01/2022 11:00 - 04/01/2022 12:00","CTA|ES","31355.00","31044.00"
"04/01/2022 12:00 - 04/01/2022 13:00","CTA|ES","31292.00","30966.00"
"04/01/2022 13:00 - 04/01/2022 14:00","CTA|ES","31527.00","31050.00"
"04/01/2022 14:00 - 04/01/2022 15:00","CTA|ES","31273.00","30572.00"
"04/01/2022 15:00 - 04/01/2022 16:00","CTA|ES","30405.00","29652.00"
"04/01/2022 16:00 - 04/01/2022 17:00","CTA|ES","30188.00","29247.00"
"04/01/2022 17:00 - 04/01/2022 18:00","CTA|ES","30488.00","29665.00"
"04/01/2022 18:00 - 04/01/2022 19:00","CTA|ES","31590.00","31295.00"
"04/01/2022 19:00 - 04/01/2022 20:00","CTA|ES","32085.00","31976.00"
"04/01/2022 20:00 - 04/01/2022 21:00","CTA|ES","32753.00","32465.00"
"04/01/2022 21:00 - 04/01/2022 22:00","CTA|ES","32032.00","31905.00"
"04/01/2022 22:00 - 04/01/2022 23:00","CTA|ES","29607.00","29389.00"
"04/01/2022 23:00 - 05/01/2022 00:00","CTA|ES","26964.00","26624.00"
"05/01/2022 00:00 - 05/01/2022 01:00","CTA|ES","25526.00","25152.00"
"05/01/2022 01:00 - 05/01/2022 02:00","CTA|ES","23719.00","23274.00"
"05/01/2022 02:00 - 05/01/2022 03:00","CTA|ES","22560.00","22167.00"
"05/01/2022 03:00 - 05/01/2022 04:00","CTA|ES","22015.00","21554.00"
"05/01/2022 04:00 - 05/01/2022 05:00","CTA|ES","21928.00","21484.00"
"05/01/2022 05:00 - 05/01/2022 06:00","CTA|ES","22317.00","22051.00"
"05/01/2022 06:00 - 05/01/2022 07:00","CTA|ES","24279.00","23984.00"
"05/01/2022 07:00 - 05/01/2022 08:00","CTA|ES","27094.00","26735.00"
"05/01/2022 08:00 - 05/01/2022 09:00","CTA|ES","29198.00","28752.00"
"05/01/2022 09:00 - 05/01/2022 10:00","CTA|ES","30892.00","30491.00"
"05/01/2022 10:00 - 05/01/2022 11:00","CTA|ES","31720.00","31565.00"
"05/01/2022 11:00 - 05/01/2022 12:00","CTA|ES","31813.00","31684.00"
"05/01/2022 12:00 - 05/01/2022 13:00","CTA|ES","31696.00","31531.00"
